Blog.id,Blog.genre_id,Blog.name,Blog.ip,Blog.domain,Category.name,Design.name
1,1,アメーバ [美容] 123 ⑥ kirari-auction.co,69.41.247.5,http://kirari-auction.co/,アメーバ,アメーバ [美容] 123-101 auction-field.com
2,25,アメJ [生活] 301-A ① pet-road.net,129.121.103.103,http://pet-road.net/,アメJ,アメJ
3,26,J [-] 1001-A ① biyou-love.xyz,159.174.255.225,http://biyou-love.xyz/,J,J [-] 1001A biyou-service.com
4,4,IP100 [-] 101-A ⑨ jiko-te-itai.info,65.75.134.80,http://jiko-te-itai.info/,IP-100,IP100 [-] 101-A koutsuujiko-teritory.com
5,3,IP200 [-] 201-B ④ floorcoating-club.info,64.247.176.173,http://floorcoating-club.info/,IP-200,IP200 [-] 201-B floorcoating-world.com
6,1,アメJ [美容] 203-A ⑥ shiwa-nakusu.co,65.75.133.196,http://shiwa-nakusu.co/,J,J-203-A 
7,1,アメJ [美容] 203-A ④ key-koukan.asia,65.75.135.187,http://key-koukan.asia/,J,J-203-A-keys-kirakira
8,1,アメJ [美容] 203-A ⑩ mastsugeekusute-club.co,65.75.136.180,http://mastsugeekusute-club.co/,J,J-203-A-mastsugeekusute-stage
9,1,アメJ [美容] 203-A ⑨ datsumou-mania.info,65.75.137.179,http://datsumou-mania.info/,J,J-203-A-datsumou-garden
10,1,アメJ [美容] 203-A ⑦ antiageing-fan.xyz,65.75.138.185,http://antiageing-fan.xyz/,J,J-203-A-antiageing-road.net
11,1,アメJ [美容] 203-A ⑧ diet-fanfan.asia,65.75.139.167,http://diet-fanfan.asia/,J,J-203-A-diet-street.net
12,1,アメJ [美容] 203-A ⑤ cosme-lover.info,65.75.140.169,http://cosme-lover.info/,J,J-203-A-keshouhin-location.com
13,1,アメJ [美容] 203-A ② datsumo-suki.co,65.75.141.168,http://datsumo-suki.co/,J,J-203-A-datumou-beaty.com
14,1,アメJ [美容] 203-A ③ clean-bighome.xyz,65.75.142.157,http://clean-bighome.xyz/,J,J-203-A-clean-kirakiravline.com 
15,25,アメJ [生活] 301-A ② royaljelly-biyou.xyz,129.121.192.36,http://royaljelly-biyou.xyz/,アメJ,アメJ-royaljelly-location.net
16,25,アメJ [生活] 301-A ③ yasetaijosei.asia,129.121.193.47,http://yasetaijosei.asia/,アメJ,アメJ-hossori-diettter.com
17,25,アメJ [生活] 301-A ④ lovery-color-contact.info,129.121.194.34,http://lovery-color-contact.info/,アメJ,アメJ-bigeyes-contact.com
18,25,アメJ [生活] 301-A ⑤ kawaimedress.com,129.121.195.42,http://kawaimedress.com/,アメJ,アメJ-kawaimedress.com
19,25,アメJ [生活] 301-A ⑥ kabu-dondon.co,kabu-dondon.co,http://kabu-dondon.co/,アメJ,アメJ-kabu-street.com
20,25,アメJ [生活] 301-A ⑦ kabarai-street.com,129.121.197.43,http://kabarai-street.com/,アメJ,アメJ-kabarai-street.com
21,25,アメJ [生活] 301-A ⑧ company-club.asia,129.121.198.31,http://company-club.asia/,アメJ,アメJ-kaishasetsuritsu-street.com
22,25,アメJ [生活] 301-A ⑨ kaikeishi-house.info,129.121.199.40,http://kaikeishi-house.info/,アメJ,アメJ-kaikeishi-street.com
23,25,アメJ [生活] 301-A ⑩ bern-madame.com,129.121.200.32,http://bern-madame.com/,アメJ,アメJ-bern-madame.com
24,18,アメJ [金融] 102-A ⑨ kabaraihouse.asia,129.121.41.55,http://kabaraihouse.asia/,J,アメJ [金融] 102A kabarai-stage.com
25,18,アメJ [金融] 102-A ⑧ silver-kabu.xyz,129.121.42.53,http://silver-kabu.xyz/,J,アメJ [金融] 102A kabarai-stage.com
26,18,アメJ [金融] 102-A ⑦ kawase-white.co,129.121.43.252,http://kawase-white.co/,J,アメJ [金融] 102A kabarai-stage.com
27,18,アメJ [金融] 102-A ⑩ kaikeishi-study.info,129.121.44.251,http://kaikeishi-study.info/,J,アメJ [金融] 102A kabarai-stage.com
28,18,アメJ [金融] 102-A ① company-red.asia,129.121.45.254,http://company-red.asia/,J,アメJ [金融] 102A kabarai-stage.com
29,18,アメJ [金融] 102-A ⑤ sweet-fragrance.asia,129.121.46.53,http://sweet-fragrance.asia/,J,アメJ [金融] 102A kabarai-stage.com
