id	keyword	url	Google	Yahoo
3391	 感謝状  手書き 	http://www.ensk.co.jp/	7	7
3359	 札幌  バー 	http://www18.ocn.ne.jp/~barstars/	0	0
3330	 ディズニーランド  宿泊 	http://yado.knt.co.jp/areamap/1040206500002/	12	12
3329	 ディズニー  宿泊 	http://yado.knt.co.jp/areamap/1040206500002/	13	12
3328	ディズニーホテル	http://yado.knt.co.jp/areamap/1040206500002/	12	12
3327	 ディズニー  ホテル 	http://yado.knt.co.jp/areamap/1040206500002/	11	11
3319	 ナチュラル雑貨  かわいい 	http://www.rakuten.co.jp/auc-sbase2008/	0	0
3318	 ナチュラル  インテリア雑貨 	http://www.rakuten.co.jp/auc-sbase2008/	0	0
3262	防カビコーティング	http://www.gaina-eco.com/	15	15
3261	 ブランド  洋服  買取 	http://www.pb01.net/	0	0
3260	 ブランド買取  東京 	http://www.pb01.net/	0	0
