id,blog_id,name
1,214,news
,3,biyou
,74,biyou
,90,biyou
,96,biyou
,115,biyou
,116,biyou
,117,biyou
,118,biyou
,129,biyou
,130,biyou
,132,biyou
,148,biyou
,150,biyou
,149,biyou
,146,biyou
,145,biyou
,144,biyou
,143,biyou
,133,biyou
,147,biyou
,3,zeiri
,74,zeiri
,90,zeiri
,96,zeiri
,115,zeiri
,116,zeiri
,117,zeiri
,118,zeiri
,129,zeiri
,130,zeiri
,132,zeiri
,148,zeiri
,150,zeiri
,149,zeiri
,146,zeiri
,145,zeiri
,144,zeiri
,143,zeiri
,133,zeiri
,147,zeiri
,3,recycle
,74,recycle
,90,recycle
,96,recycle
,115,recycle
,116,recycle
,117,recycle
,118,recycle
,129,recycle
,130,recycle
,132,recycle
,148,recycle
,150,recycle
,149,recycle
,146,recycle
,145,recycle
,144,recycle
,143,recycle
,133,recycle
,147,recycle
,3,travel
,74,travel
,90,travel
,96,travel
,115,travel
,116,travel
,117,travel
,118,travel
,129,travel
,130,travel
,132,travel
,148,travel
,150,travel
,149,travel
,146,travel
,145,travel
,144,travel
,143,travel
,133,travel
,147,travel
,3,office
,74,office
,90,office
,96,office
,115,office
,116,office
,117,office
,118,office
,129,office
,130,office
,132,office
,148,office
,150,office
,149,office
,146,office
,145,office
,144,office
,143,office
,133,office
,147,office
,3,fudousan
,74,fudousan
,90,fudousan
,96,fudousan
,115,fudousan
,116,fudousan
,117,fudousan
,118,fudousan
,129,fudousan
,130,fudousan
,132,fudousan
,148,fudousan
,150,fudousan
,149,fudousan
,146,fudousan
,145,fudousan
,144,fudousan
,143,fudousan
,133,fudousan
,147,fudousan
,3,kekkon
,74,kekkon
,90,kekkon
,96,kekkon
,115,kekkon
,116,kekkon
,117,kekkon
,118,kekkon
,129,kekkon
,130,kekkon
,132,kekkon
,148,kekkon
,150,kekkon
,149,kekkon
,146,kekkon
,145,kekkon
,144,kekkon
,143,kekkon
,133,kekkon
,147,kekkon
,3,fashion
,74,fashion
,90,fashion
,96,fashion
,115,fashion
,116,fashion
,117,fashion
,118,fashion
,129,fashion
,130,fashion
,132,fashion
,148,fashion
,150,fashion
,149,fashion
,146,fashion
,145,fashion
,144,fashion
,143,fashion
,133,fashion
,147,fashion
,3,kinyuu
,74,kinyuu
,90,kinyuu
,96,kinyuu
,115,kinyuu
,116,kinyuu
,117,kinyuu
,118,kinyuu
,129,kinyuu
,130,kinyuu
,132,kinyuu
,148,kinyuu
,150,kinyuu
,149,kinyuu
,146,kinyuu
,145,kinyuu
,144,kinyuu
,143,kinyuu
,133,kinyuu
,147,kinyuu
,3,school
,74,school
,90,school
,96,school
,115,school
,116,school
,117,school
,118,school
,129,school
,130,school
,132,school
,148,school
,150,school
,149,school
,146,school
,145,school
,144,school
,143,school
,133,school
,147,school
,89,fuzoku
,94,fuzoku
,86,fuzoku
,92,fuzoku
,88,fuzoku
,95,fuzoku
,85,fuzoku
,87,fuzoku
,93,fuzoku
,91,fuzoku
,89,tantei
,94,tantei
,86,tantei
,92,tantei
,88,tantei
,95,tantei
,85,tantei
,87,tantei
,93,tantei
,91,tantei
,89,credit
,94,credit
,86,credit
,92,credit
,88,credit
,95,credit
,85,credit
,87,credit
,93,credit
,91,credit
,75,eco
,76,eco
,77,eco
,78,eco
,79,eco
,80,eco
,81,eco
,82,eco
,83,eco
,84,eco
,75,buy
,76,buy
,77,buy
,78,buy
,79,buy
,80,buy
,81,buy
,82,buy
,83,buy
,84,buy
,75,repair
,76,repair
,77,repair
,78,repair
,79,repair
,80,repair
,81,repair
,82,repair
,83,repair
,84,repair
,64,home
,73,home
,66,home
,67,home
,69,home
,70,home
,65,home
,72,home
,71,home
,68,home
,64,life
,73,life
,66,life
,67,life
,69,life
,70,life
,65,life
,72,life
,71,life
,68,life
,64,work
,73,work
,66,work
,67,work
,69,work
,70,work
,65,work
,72,work
,71,work
,68,work
,60,traveler
,45,traveler
,50,traveler
,54,traveler
,52,traveler
,57,traveler
,48,traveler
,63,traveler
,62,traveler
,46,traveler
,60,ryokana
,45,ryokana
,50,ryokana
,54,ryokana
,52,ryokana
,57,ryokana
,48,ryokana
,63,ryokana
,62,ryokana
,46,ryokana
,60,buildinga
,45,buildinga
,50,buildinga
,54,buildinga
,52,buildinga
,57,buildinga
,48,buildinga
,63,buildinga
,62,buildinga
,46,buildinga
,28,shigyou
,43,shigyou
,31,shigyou
,33,shigyou
,29,shigyou
,35,shigyou
,26,shigyou
,25,shigyou
,24,shigyou
,27,shigyou
,28,tanpo
,43,tanpo
,31,tanpo
,33,tanpo
,29,tanpo
,35,tanpo
,26,tanpo
,25,tanpo
,24,tanpo
,27,tanpo
,28,credit
,43,credit
,31,credit
,33,credit
,29,credit
,35,credit
,26,credit
,25,credit
,24,credit
,27,credit
,202,datsumou
,13,datsumou
,14,datsumou
,7,datsumou
,12,datsumou
,6,datsumou
,10,datsumou
,11,datsumou
,9,datsumou
,8,datsumou
,202,shibou
,13,shibou
,14,shibou
,7,shibou
,12,shibou
,6,shibou
,10,shibou
,11,shibou
,9,shibou
,8,shibou
,202,supli
,13,supli
,14,supli
,7,supli
,12,supli
,6,supli
,10,supli
,11,supli
,9,supli
,8,supli
,30,bridal
,32,bridal
,34,bridal
,36,bridal
,37,bridal
,38,bridal
,39,bridal
,40,bridal
,41,bridal
,42,bridal
,30,est
,32,est
,34,est
,36,est
,37,est
,38,est
,39,est
,40,est
,41,est
,42,est
,30,gift
,32,gift
,34,gift
,36,gift
,37,gift
,38,gift
,39,gift
,40,gift
,41,gift
,42,gift
,2,live
,15,live
,16,live
,17,live
,18,live
,19,live
,20,live
,21,live
,22,live
,23,live
,2,cosmetic
,15,cosmetic
,16,cosmetic
,17,cosmetic
,18,cosmetic
,19,cosmetic
,20,cosmetic
,21,cosmetic
,22,cosmetic
,23,cosmetic
,2,collect
,15,collect
,16,collect
,17,collect
,18,collect
,19,collect
,20,collect
,21,collect
,22,collect
,23,collect
