Post.id,Post.blog_id,Post.title,Post.pagename,Post.menu,Post.content,Post.public,Keyword.id,Keyword.keyword,Keyword.url,Keyword.visible,Arbitrary.keyword,
,72,不動産情報,,home,仕事柄不動産業の人との付き合いが多くて、外壁塗装やフロアコーティングの仲介業の真似事をやったりもしています。 部屋ってのは住んでいる人間の内面がよく表れているから見ていて飽きないもんです。 似たところだと引っ越し業者さんがそうかなと思いますが、マンション清掃のアルバイトをしていたときも、 ご近所のしょうもないうわさを耳にしたりで楽しかったな。自分が思うツマラン仕事ってのは人と関われない仕事だと思う。 面倒くさい仕事ってのもまた人と関わる仕事だけど、誰ともかかわりのない仕事ほどむなしいものはないね。 工場の流れ作業が似たようなもんだけど、あれだって隣で作業している奴と話す機会が全くないわけではない。 デイトレーダーなんて人と話さなくてもできるが、お金儲けするだけだし、人によっては最高につまらない仕事だと評する人もいるだろうね。 人に部屋を貸すだけでお金が入ってくるもんだから、不動産ってのは勝ち組のやる最高の商売だと思いがち。 本気でそう思っている人も少数派だろうけど、古くなったら大規模修繕をしたり、建物診断で不動産価値を証明したり。 とにかく保有しているだけでお金が掛かるし、マンション経営で儲かるってのは誰かしら部屋に入ってくれているときだけなんだよな。 人の入らない物件なんて足枷にしかならんだろうし、この現実を知らないで安易に飛び込んでくると痛い目だけじゃすまんかも。たばこの臭いってなかなか消えませんよ。マンションとかで、たばこを吸う人の部屋は壁が黄色いですよね。あれがヤニです。染み付いた臭いもなかなか撮れません。たばこの脱臭をやります外壁塗装業も知っているこちらの会社。同業者でも評判がいいので、間違いのない仕事をやってくれるはずです。渋谷区で物件をお探しなら、恵比寿　賃貸が豊富です。ワンルームからファミリー用まで見てみましょう。一戸建てや中古マンションを大阪市内で購入したいとお考えなら、こちらの仲介手数料無料・の不動産会社にご連絡を！取り扱えない物件はないと豪語する実力と実績ある不動産会社です。マンションの大規模修繕はこちら人が多すぎる23区よりも町田の不動産を探したほうが賢いんじゃね？という天才的な発想から、今町田周辺の不動産をいくつか購入候補にしています。今の調子で給料が上がって、ボーナスも貯金しておけば、30後半あたりで一戸建ての不動産物件が手に入りそうだわ。,1,,フロアコーティングについて,http://www.daiyu-k.co.jp/,1,0,
,65,部屋をフロアコーティング,,life,姉の部屋がものすごいゴミ屋敷な状態で、母親が片づけに行ってだいぶきれいにはなったけれど、 ああいうのってもう一種の病気だからどうしようもないんだよね。 自宅に庭があればプレハブでも建てて、そこを物置にできるんだが、 そうやってなまじ置き場所があるとどんどん物を買いこむ習性が奴らにはある。 親父がフロアコーティングだとか内装関係の仕事をやっているから、数年に一度はワックス的なものをかけるんだけど、 足の踏み場がないような状態だから、もう十年以上は部屋にワックスかけてないなぁ。 もしかすると近いうちに大規模修繕をするかもしれないと、親父から聞いた。 仕事柄、建物診断をしてくれる業者とワタリがついているので、そこから何かのついでに診断してもらったらしい。 一時期家を売り払ってもう少し便の良いところにマンションを買おうか、なんて話をしていたが、中学のころだから良く覚えていない。 今普通に引っ越しもせずに済んでいるのだから、その話は立ち消えになったんだろうね。 親戚は金銭的に余裕がある人が多くて、不動産を2，3保有している人がいる。 もちろん都内で賃貸のお金で安定した生活をしながら趣味に生きているおじさんがかっこよかったな。 あれこそが真の勝ち組ってやつだろうね。未来がはっきりしない時代だからこそ横須賀に新築一戸建てを建てようという目標が自分を支えています。働く意味、生きる意味に迷ったときはいつも横須賀に新築一戸建てを建てることを思い出してモチベーションを維持しています。オープンハウスも頻繁にやっているので、一度は参加してイメージを深めるのもいいでしょう。マンション暮らしはいつか卒業したいあなた。だれでも思い描く、新築一戸建て　横浜という夢のつかみ方がここにはあります。建物の大規模修繕が必要だと思うなら、その前に建物診断や競争入札のサポートをしてくれるこちらのコンサルティング専門設計事務所にご相談を。修繕計画や工事監理まで、分かりやすく修繕のステップを説明してくれます。30超えて分かりやすい差がつくところっていうとマンション購入できたかどうかだよね。パパにねだってマンション購入したようなのは別として、私は今コツコツ金貯めてマンション買おうと必死ですわ。収益物件として、投資対象のマンション購入を考えている人はこの会社を調べてみてね。穴場物件は早い者勝ちですから、即断即決が基本です。,1,,フロアコーティングについて,http://www.daiyu-k.co.jp/,1,0,
,70,オフィスにもフローリングを,,work,オフィス移転といっても、初めてオフィスを移転させる時は何をすればいいのかわからないですよね。オフィス移転業者はというもの自体が、什器の調達や運搬や内装工事などの移転の様々な工程を個別の業者に直接発注する個別サービスと、移転に関わる業務や外部の業者の管理を、１つの業者が窓口となって行うワンストップサービスの二つの形態に分けられるのだそうです。個別サービスのメリットとしては直接それぞれの業者に依頼する事になるのでマージンなどが取られず、業者との費用を安く抑える事ができるものの、業者全員と別個に対応する必要があり、またその対応からスケジュールやプランの作成・管理をする事になる為、オフィス移転担当者の負担が高くなり、また担当者にもある程度の経験や能力が求められます。ワンストップサービスは一つの企業が窓口となって他の企業との調整をしてくれ、またオフィス移転担当者も移転に関わる内容の大半をその業者に依頼する事であまり経験がない人でも比較的安心して行えはしますが、その分、管理費や窓口業者へのマージンが発生しますので、料金は割高になってしまいます。信用できる担当者が社内にいて、ゆっくりと時間をかけてもいいかた経費をそこまでかけずに移転をしたいという企業には個別サービス、お金に関してはあまり気にしないけれども、社員全員が忙しく移転に人員は割けないし、そこまで時間をかけたくない。という企業ですとワントップサービスが向いている様に思いますね。オフィス移転を考えている貴方は、はたしてどちらのタイプですか？,1,,フロアコーティングについて,http://www.daiyu-k.co.jp/,1,0,
,56,発泡スチロールみたいな夢,,poster,ゲンを担ぐ方ではないものの、まずお客は看板を見てからお店に入るもの。内装も大事ですが、看板にだってお金をかけるべきだなと勉強になりました。小学生の頃はいじめられていたので、友達はいつも発泡スチロールでした。もうボロボロになってしまった発泡スチロールの人形ですが、一緒に色々な遊びをしましたよ。それが高じてか僕の仕事も発泡スチロールを加工するというもので、確実に天職に巡り合えたなと今でも思います。今世紀は発泡スチロールの世紀になると同業者の間では有名ですが、あなたも時代を先取りして発泡スチローリングしちゃいませんか？,1,,フロアコーティングについて,http://www.daiyu-k.co.jp/,1,0,
,55,好きなインテリア,,money,"一軒家は、災害対策・外装がよければ良いというわけではありません。内装も大事になってきます！かといって内装が家を買った時に全て決まっていたら、つまらないと思います。最近では、内装を好みの色や家具を置くことが流行中です。私は、一軒家を買ったら内装を白黒を基調にしたかっこいい部屋を作ります。具体的には、壁は白黒・黒のカーテン・ベットのシーツは白で掛け布団は黒などになるでしょう。まぁ赤とかピンクとか派手な色の内装は却下ですよね(_&lt;)部屋とかピンク・赤とか明るい色は、ちょっとな・・・・。せめてベージュ・青・緑なら許そう（私の内装の理想の一部)。内装に自分の趣味を持ってくる家もありますよね。私の理想の一部のSF部屋・お店みたいな高級な感じ・ロッククライミングができるとか色々あります。こだわるのは良いですが、将来売ることを考えたら普通の家が良いですよね・・・・。マンションで住んでみたいのが、高級感がある広い部屋ですよね。セレブが住んでいそうな感じのです。壁には、鹿とかトナカイの剥製模型があります。私も一度は住んでみたい(｀)夢というなの妄想ならできますけどね。話をもどしてセレブなみのマンションを買うのには、お金が必要です。高くても59,000万とか、低価でも3,300万円とかになります。普通の人なら夢のまた夢です。こういう家に住むのは、芸能人・社長・政治家・豪族・貴族とか金をたくさんもらってる人でしょうね。いいなぁ～。洋服ダンスとか大きくて、部屋が多く好きなように使えるとか自由って感じですよね。高級マンションは、普通の建物ではなく高層ビルのようです。上に行けば行くほど高いと考えています。下の階が安いとは言いませんが、最上階に比べると安いでしょう。私の夢に加えておこう(｀)断熱塗料を調べてみましたが、特許をとっている会社があるみたいですね。断熱塗料荷物が多いのでトランクルームが便利です。練馬のトランクルーム",1,,オススメのフロアコーティング,http://www.daiyu-k.co.jp/,1,0,
,53,ホテルの床はピカピカ,,biz,一口にホテルといいましても、シティホテルやビジネスホテル、リゾートホテルなど様々な形態のホテルがありますね。世界各国を見てみると、先に挙げた様なホテルとは一線を画した個性的なホテルがあるようです。カナダやスウェーデン、そして北海道には冬季限定で営業している、雪と氷で出来たホテルがあります。壁も床もベッドも氷で作られた幻想的な部屋の中を寝袋にくるまって眠るそうです。凍えてしまいそうですが、暖炉などもあり、しっかりと上着を着込んで寝るので、寒さに凍えて体調を崩すなんて事はないようです。アメリカやドバイには、海中に部屋が作られており、その部屋の窓からは陽の光が差し込む水中を泳ぐ魚の群れが見えるホテルが。しかもアメリカにあるこのタイプのホテルはスキューバダイビングをして海中からチェックインをするという徹底ぶりです。トルコはカッパドキアにある洞窟を利用して作られた洞窟ホテルや、チリの塩湖の塩だけで作られた塩のホテルのように自然を利用して作られたホテルから、アメリカにある犬型ホテルや、部屋の一つ一つが異なるコンセプトで作られた、アート的な設計のドイツにあるホテルといった、外装・内装が特殊なホテル、オランダのクレーンホテルやドイツの監獄ホテルのような既存の建築物や乗り物を改修して作られたホテルとユニークなホテルが沢山あります。こんな個性的なホテルに一度でいいから泊まりに行きたい物です。,1,,オススメのフロアコーティング,http://www.daiyu-k.co.jp/,1,0,
,90,一戸建ての夢,,fudousan,会社に勤めて５年…僕もようやくマイカーを手に入れましたよ。今度は一戸建てのマイホームを目標に不動産情報誌をチェック中。当然家なんて簡単には変えないけれど、頭金だけでもそろえて50歳くらいで住宅ローンを返済し終えるような人生が理想だね。まあ不動産を調べると現実が見えてきて、新築一戸建てでなく、中古もありかと考えるようになりました。内装業者をしている兄が千葉でお風呂リフォームの仕事をしている。実家の風呂もタイルがボロボロになってきたし、父と母も高齢で冬場は心臓に悪いんだよな。もしお風呂リフォームをすなら、洗濯物を干す場所がないから浴室乾燥機も欲しいし、ジェットバスもあるといいね。テレビcmでやっているような明るくてきれいなお風呂に改造できたら自宅に帰ってくるのが楽しみになりそう！,1,,オススメのフロアコーティング,http://www.daiyu-k.co.jp/,1,0,
,74,不動産セミナーに参加,,fudousan,自称風水師のサークル仲間がいて、世界でも自分ほどの風水師は存在しないというほどの自信があった。 一度３，４人くらいを自分のアパートに呼んで飲み会をやったことがあったんだが、 そいつが入って来るなり、ここは風水的に見て最悪なアパートだとコメントした。 ここに住んでいると長生きできないとか、自分の忠告を無視した奴は家が爆発して全滅したなど、脅しまで掛けてくる始末。 いい加減恐くなったので、住んでいた大田区のアパートから世田谷のマンションへと居を移した。 その風水師君の実家は資産家で、自分がのんべんだらりとニート三昧をしていられるのも、すべては風水のパワーによるものなのだと。 現実に、そいつはニートとして成功を収めているので、特に反論する気も起こらないのだが、うらやましさはある。 自分が必死にバイク便でお金を貯めて壊れた給湯器を買った時も、そいつは不動産収益と、内装業者のコネで 給湯器をタダ同然の額で手に入れていたし、やはり風水ってあるんだな。 この調子だと、奴の保有している土地から温泉や石油が噴出してきてもおかしくはない。 東京でも温泉はあるしね。 古本屋で不動産だとか風水の本をみながら、いつかラッキーパワーで宝くじを当てて大勝することを夢見ている。急がないと、無料の不動産投資セミナーを受けられなくなりますよ！毎月申し込み人数がすぐに定員に達してしまう、人気の無料不動産投資セミナーの申し込みはこちらから。定員オーバーで受付を締め切られても、またすぐ開催されるから大丈夫！不動産投資に少しでも興味のある方は、会社員、主婦、学生問わず一度ご参加ください。長期的な視野を持っている人ならマンション投資経営を耳にしたことがあるかもしれません。ここは手堅い収益を考えているあなたの武器になってくれるはず。熱海の不動産のことはお任せください人気の賃貸 大阪の物件をお探しなら、情報が豊富なこのサイトをチェック！賃貸だけでなく、分譲物件もたくさん取り扱っています。中古マンションを大阪で探す・買うならこのサイト！大阪市でなら取り扱えない不動産はないと豪語する会社なので、あなたのワガママな希望にあう物件も見つけてくれるかもしれません！仲介手数料無料物件もあるので、高いはずの買い物が案外安くなるのかも？町田で不動産売買を計画しているなら、こちらはいかが？町田周辺地域で土地・一戸建て・マンションなど豊富な種類の不動産を売買している不動産会社です。小田急線や田園都市線、JR横浜線沿線で不動産を高く売りたい、安く買いたい方は一度見てみた方がいいですよ！ベッドタウンとしての価値が評価されている町田一帯で、頼りにできるのはこの不動産会社です！,1,,オススメのフロアコーティング,http://www.daiyu-k.co.jp/,1,0,
,3,内装も気にする,fudousan,,銃弾飛び交うメキシコでアルバイトをしていたから世田谷の治安の良さには涙が出ました。自動小銃や防弾チョッキで武装しなくてもいいしね。メキシコでゲットした彼女はいつも靴下にプッシュダガーを忍ばせていますが、そんなことしなくても世田谷は平和なのにね。賃貸物件も意外と安くて助かりました。今度一緒に松陰神社と国士舘の連中にお参りでもしてくる予定です。世田谷を満喫しちゃってるね、ボク。名人と呼ばれる人にうちのお店の看板をデザインしてもらった。出来栄えは想像以上で、どこからどう見てもラーメン屋にしか見えない看板デザインに仕上がりました。客足も看板を新しく掛け替えたおかげか伸びてきていますね。ゲンを担ぐ方ではないものの、まずお客は看板を見てからお店に入るもの。内装も大事ですが、看板にだってお金をかけるべきだなと勉強になりました。小学生の頃はいじめられていたので、友達はいつも発泡スチロールでした。もうボロボロになってしまった発泡スチロールの人形ですが、一緒に色々な遊びをしましたよ。それが高じてか僕の仕事も発泡スチロールを加工するというもので、確実に天職に巡り合えたなと今でも思います。今世紀は発泡スチロールの世紀になると同業者の間では有名ですが、あなたも時代を先取りして発泡スチローリングしちゃいませんか？,1,,オススメのフロアコーティング,http://www.daiyu-k.co.jp/,1,0,
,119,新しいお家で！,house,,新郎と新婦の晴れ舞台である結婚式、折角ならばいい思い出として残しておきたいもの。その為には重要な事が一つ、それは「余裕を持って準備をする」事です。ネットでも一ヶ月以内や三ヶ月以内の挙式がOKな式場の紹介がありますので、「ああ、準備もそれぐらいから始めればいいんだ」と思うかもしれませんが、それは間違いです。この一ヶ月以内や三ヶ月以内というのは、式場がお客からの要望を受けても対応できる期間であって、結婚をする方が準備を始めても間に合う期間ではないという事です。挙式の形式や呼ぶ人数、会場・料理・ドレス等々、決めなければならない事は山ほどあります。仮に三ヶ月や一ヶ月前までノープランのままで、残った期間で全てを決めてそれを式場スタッフに指示ができると思いますか？　式場のスタッフも肝心の主役であるお客の指示がなければ満足に動けないのです。むしろ三ヶ月以内や一ヶ月以内と宣伝している場所こそ、よりスピィーディーに決めなければならないので、事前準備というのが大事ですね。期間が短いという事はそれだけ式場側も余裕がないという事ですので、一日の内に式の段取りや引出物を全て決めなければならない。なんてこともありえるのです。他にも招待状は遅くても一ヶ月前、ドレスの予約も三ヶ月前にしなくてはならなかったりと、結婚をする人の準備は早め早めに行わなければ、来賓客は予定がとれずに殆ど欠席、ドレスは当日に辛うじて余っていたもの、時間がなく言われるるままにお願いした式のの内装や内容はぐちゃぐちゃに、という自体だってありえます。そんな事態を回避する為にも、結婚式の詳しい内容の計画や準備は、三ヶ月前には殆どできている。といった状態が望ましいですね。,1,,フロアコーティングについて,http://www.daiyu-k.co.jp/,1,0,
