Post.id,Post.blog_id,Post.title,Post.pagename,Post.menu,Post.content,Post.public,Keyword.id,Keyword.keyword,Keyword.url,Keyword.visible,Arbitrary.keyword
,147,水遊び,,travel,今の時期に旅行に行くのならば、気温が温かい沖縄ですよね。特に冬場に行くと、温かい気温なので楽園にいるかのような感じになります。沖縄旅行で行くべきところは、水族館です。修学旅行で一度行きましたが、また行きたいと思う場所です。広いし、中の食事も良く・休憩所も大きいのも魅力ですよね。色々な魚もいて、見所がたくさんあり何度行っても飽きない場所でしょう。そして、ここを忘れてはいけない！　そう、野菜・肉・お菓子など必要なものが揃う「国際通り」です(^-^)あそこに行けば買い物したついでに、沖縄にしかない名物が食べられるし、面白い店も発見できる場所です。売り方が上手い人に捕まると余計な出費が出たりする場合もありますね。欲しいものが安く手に入るのならば嬉しいですね。ヘラクレス、ネプチューン、コーカサスと、海外のカブトムシはとってもかっこいいです。もちろん、日本国内には生息していないので、自分の手で?まえることは不可能です。専門店に行けば、どれも売っているとのことなので、今度行ってみようと思います。ヘラクレスやオオカブトほかにも、たくさんいます。,1,,吉野川のラフティング,http://www.taoadventure.com/,1,0
,133,ついでに旅行,,travel,最近の日本では晩婚化ということばがよく使われている。意味としては、結婚をする年齢が高齢化してきているということだが、 そもそも日本人の平均年齢が高くなっているため、それに伴って結婚年齢も上昇しているのだろう。かなり若い年齢で結婚する者もおり、日本では男性で18歳、女性では16歳で結婚が可能である。しかし、その年齢で結婚を許す場合はあまりなく、大抵の場合は周囲からの反対があって当然である。昔ならばともかく、現代の18，16歳といえば、一言で言って子供である。身体的なことに関しては確かに成人と言っても過言ではないが、中身が伴っていない。 現代の若者では結婚に関してかなり軽く考えているところがある。多少の偏見があると思うが、単なる交際の延長として考えている場合が多く。 大した理由もなくすぐに離婚してしまうという話も聞く。先日、身内の結婚式に参加したことがあるのだが、 ああいうのを見ると、すぐに離婚してしまうというのは不思議に思える。双方が腹をくくって、一生を共にすると誓うのが結婚だと思うが、 そういう覚悟がないまま結婚してしまうのが当たり前になると、結婚の価値が低下するのではないか。ニューカレドニアの美しく厳かなチャペルでドラマティックな結婚式を挙げたいなら、実績のある旅行会社へ！結婚式の費用が貯まったら北海道の旭川で結婚式をやるつもりです。できるだけ寒い季節の旭川で結婚式をやりたいと思っていて、東京の寒いと旭川の寒いがどれくらい違うのかを体験したい。彼女は北海道生まれの人なので、学生時代は酔っぱらって凍死した友人が5人くらいいるそうだ。死と隣り合わせの北海道で結婚式をやるなんて、俺らさすがだよな。結婚式場の費用は大宮でなら通常いくら？できるだけ安くしたいなら、ここがオススメかも。ささやかながらも美しく荘厳な結婚式が、白亜の教会で挙げられます。それも、挙式代や衣装レンタル代、メイク代など込みなのにとっても格安で！結婚後のハネムーンをどうしようか旦那様の検討した結果、海外に旅行することが決まりました！ ただ、私達は地方に住んでいるので空港に行くにも一苦労なんですよとりあえず旅行に行く際は、一度成田空港で一泊してから出発です！小旅行でワクワクしますね！,1,,吉野川でラフティング,http://www.taoadventure.com/,1,0
,133,キレイな海へ,,travel,私の親の知り合いは、離婚している方が多いです。親の知り合いなので中高年以上ですが、そういった年齢の方の半分くらいが一度結婚しているのに今は独身なんですよ。死別という方もいらっしゃいますが。 それでも元気な方は多いですね。特に女性は元気なようです。ある女性などは、なんでも旦那さんが競馬好きでよく借金をしていたので、別れられてとっても幸せだということです。 借金などなければ財産分与などでモメてまた嫌な思いをしたかもしれませんが、相手にお金がないことはわかっていたので何にもいらないから離婚してほしいと言ったそうです。 競馬も、勝てればいいんですけどね。そうだ、競馬に勝っていたら、その女性と元旦那さんは離婚していなかったのでしょうか？ 難しい問題です。とりあえず借金は全部、元旦那さんが払うことになったといいますから、良かったですね。 この方以上に離婚で元気になっちゃう女性もいますよね。夫の世話から解放されて、夢だった会社を設立したら成功したとか女社長の物語に、そういうのがたしかあったはず。 強い女性っているんですね。ニューカレドニアの海は、世界遺産に認定されたほど青く美しい。希少な珊瑚が息づく生命力にあふれた母なる海から力をもらうなら、ニューカレドニアが最適です！天国のごとき美しさを誇る海に行くなら、この旅行会社へ。フィジーは、南太平洋に浮かぶ、楽園の島々です。日本人はもちろん、オーストラリアやアメリカ、各国の旅行者を魅了している島です。年間の観光者数もトップに入ります。フィジーの魅力は、なんといっても美しい海と、おいしい料理ですね。治安も良いので、ハネムーンや、女性の旅にも最適です。結婚相談所を大阪でお求めなら、このサイトに行ってみてください。会員になれば結婚に繋がる手厚いサポートが受けられます。無料の30分お見合い体験など、結婚相談所ならではのサービスが目白押し！体験入会も30日間無料なので、試してみるだけでも試してみて！,1,,吉野川ラフティング案内,http://www.taoadventure.com/,1,0
,127,人気の旅行,rafting,,人気の海外旅行も良いですよね( ;▽｀)一度も行ったことがない私が言うのもなんですが・・・。行くなら近いところで日本語が通じる場所が良いです(｀) 夏は、青い海・白い砂浜で泳いだり日焼けしたりしますよね。他にも自然に触れてたり、馬・ラクダなどに乗り草原・砂漠を散歩して気分をリフレッシュさせるというのもあります。海外は、日本と違い暮らしや文化の違いもあるので触れて体験し勉強するのも良いと思います。食べ物も美味しいと思います( ﾟv^ ) ｵｲﾁｲ　 水だけは「日本から持って行ったほうが良い」と友達が言っていました。安全が保証できない・病気【下痢など】・になるかもしれない、などの考えがあると思います。水のことは置いといて・・・夏に行きたい海外旅行を紹介します！ ?ニューカレドリア・・・・天国に一番近い場所と言われています。そこは、まさしく青く澄んだ海・白い砂浜が広がっている場所です。?モンゴル・・・・草原を馬で駆け巡り、野花などを見てゲル【移動するテント】に泊まる。　 他にも色々あるので探してみてください。今どき、会社に勤めているなんてださいね。真に出来る人というのは組織でなんか動かないで事実だけ認めて淡々と次のステップに向かっています。そんなやるの間がタクシーへ転職の広告なんでｓう。,1,,吉野川のラフティング,http://www.taoadventure.com/,1,0
,128,合宿免許ついでに,traveler,,祖父から車を貰ったので合宿免許行って免許を取りに行った。合宿免許と言うのは、免許取得に必要な最低限の日数で自動車免許などが取得できる合宿形式のもの。マニュアル免許とオートマ免許があったが、マニュアルの方が運転が楽しいぜということでMT免許を選択。教習車を2台大破させたが、どうにか卒業。教習所の教官たちは泣くほど喜んでくれたし、あとは鮫洲の運転免許試験場で学科試験に合格するだけだな。海を越えたその先で、あなたの携帯電話、スマートフォンは果たして機能するでしょうか？日本に住んでいてガラケーを使ってたけれど、海外旅行に行ったときケータイが使えないとは思わなかったよ。必死に慣れない英語で携帯電話レンタルの業者を探した時はメッチャ慌ててたなぁ。せっかく苦労して手に入れたレンタル携帯も、時報を聞く以外使わなかったのが残念だが…。,1,,吉野川でラフティング,http://www.taoadventure.com/,1,0
,121,別荘で遊ぼう,holiday,,別荘を持っているという知り合い経営者に対抗して私はフィリピンの島を一つ買いました。なかなかいないでしょ、別荘はあっても島を一個保有している人だなんて。でもフィリピンに島を買ったのは良いが、電気もないしガス水道もない。どうしようもないのでテントで一泊しましたが、星がとってもきれいでした。こういうのが本当のリゾートなんだなぁとしみじみ思ったね。でも係留していた船が無くなっていたのは驚いたね。初めて二人っきりの海外旅行をしました。彼女とはフィリピンにしようか、タヒチにしようかと色々相談したけれど、結局南国を一回りすることに。これだったらフィジーもニューカレドニアも楽しめるし、かなりいいアイデアでしょう。南国のフルーツに熱帯魚もモリモリ食べられましたし、なにより南国って年中暖かいんですよ。パンツ一丁でも過ごせる南のリゾートアイランド。彼女ができたら必ず一度は行っておきたいね～。,1,,吉野川ラフティング案内,http://www.taoadventure.com/,1,0
,98,国内旅行もいいね,,,ここ最近「星野リゾート」というホテルが一度は泊まりたいと注目を浴びていますが人々をなぜそこまで魅了させることができるのでしょうか。日本各地にその風土に合わせたホテルを展開しています。他のホテルと比べるとまずロビーで待っているとウェルカムドリンクでおもてなしを受けます。まるで高級レストランのようです。宿泊する部屋に着いてからお茶を出されることはありますがこのウェルカムドリンクはお茶ではなくシャンパンなどのお酒や子供の場合はフレッシュジュースでおもてなしを受けます。他にもおもてなしの心は徹底していまして、１人１人にカスタマーサービスをしていましてこのお客様はお肉は苦手、このお客様は味噌汁を３回もお代わりした。など細かい情報もデーターに残しリピーターが増えてきた要因だと考えられます。なんとこのカスタマーサービスは５３種類にも及ぶのですから驚きを隠せません。顧客アンケートは７段階もあり低いと思われるサービスは即改善するといった廃炉がお客様の心をつかむのでしょう。また、ホテルの外観は近代的な高層ビルではなく昔懐かしい平屋で集落になっていまして川が流れ山に囲まれ四季の移ろいを楽しむことができまるで時間が止まったような懐かしい気持ちに浸ることができ心からリフレッシュすることができます。部屋同士がとても離れているため他の利用客の声が聞こえないので安心です。近年は格安の海外旅行の人気で国内旅行の旅行客が減り続けていますがこういった日本ならではのホスピタリティに力を入れたホテルが増えれば格安ホテルに勝つことができると思います。,1,,吉野川のラフティング,http://www.taoadventure.com/,1,0
,99,宇宙旅行へ,,,だれしもが小さいころから宇宙への無限大の憧れを抱いたことがあると思います。有名人がここ最近その小さなころからの夢を果たすため記者会見を開く人や宇宙旅行実現するために訓練に励む様子を見る機会が多くなってきました。とはいえ宇宙旅行は海外旅行とは訳が違くかかる費用が大金です。でも考え方を変えれば昔は宇宙飛行士でなければ宇宙に行くことができませんでしたが現代では１２００万円ほど出せば夢をかなえられる時代になってきたのです。そのため宇宙旅行が1までよりも身近になってきました。しかし無重力の宇宙で生活できるために体力づくりをしなくてはいけません。何回も回転させても持ちこたえられるかどうか、急上昇急降下しても意識を持っていられるかどうかなどジムで体を鍛える以上に並大抵の体力作りではありません。それだけ命の危機もあるほどのことです。まだまだかかる費用は大金ではありますが高齢になるとその体力作りに体を持ちこたえることができなくなるので宇宙旅行を実現したいと思い立ったらすぐにそのための準備を進めた方がいいと思います。宇宙が好きなのでたまにプラネタリウムに足を運ぶことがあるのですがそこでもとてもリラックスすることができますが、本物の宇宙は全く異なると思います。そんな憧れの宇宙旅行ではありますが地球とは違い無重力で閉鎖的空間で長い間閉じ込められているので極度のストレス状態に陥ってしまいます。体力づくりと同時にストレス対策を考えておくことが大切になってきます。買っていたペットのモモンガが死んでしまい、傷心旅行でフィジーまで行ったのはいい思い出。高い崖があったから、ついモモンガの真似をして、美しいフィジーの海に飛び込みました。幸い自分も手と足の間に皮膜がある体質だったのでそのまま滑空。フィジー旅行での一番の思い出は、そのスカイダイビングからの遊覧飛行ですね。今度は友達とフィジー旅行行きたいな。ホテル 予約大学の卒業と同時に沖縄旅行に行こうと思っている。青い海と白い砂浜、珊瑚に囲まれた島の中で友達とリラックスできると思うと心が躍る。今のところは観光名所を沢山回れるツアーにしようか思っている。そういうわけで最近の私は知識人なガイドを驚愕させるために沖縄の歴史を学ぶ事がブームだ。,1,,吉野川でラフティング,http://www.taoadventure.com/,1,0
,20,パスポートなしで！,,live,パスポートなしで行ける南国というと鹿児島か沖縄旅行ですよね。 沖縄と比べると鹿児島はかなり日本っぽい？といえばいいのか、やはり沖縄人の文化は独特のものがある。 時間に関してかなり緩いというのは正直うらやましい。 そもそも、日本人自体が時間にうるさすぎるのがおかしいって見方もあるけれどね。 5分遅れてきてすごく怒る人はちょっと余裕がなさすぎると思うわ。 これが仕事だったりすると遅くとも5分前に到着ってのはわかるけど、遊びに集まるのでちょっと遅れたくらいで騒ぐなと。 人に合わせるのが心底面倒くさいので南国旅行に行くとしたら一人で行くのがいいねぇ。 ニューカレドニアやハワイのようなところへ海外旅行しにいくのも悪くはないが、気軽さという点では沖縄の方が良い。 シーズンを選んで格安航空券を探せば、かなり安い値段で沖縄までいけるし。 やっぱり九州の人は沖縄によく行くケースが多いのかな。 寒い地方の北海道はまだ一度も行ったことがないから、そっちも名所とか調べていきたいわ。 海外に旅行するとしたらやっぱり砂漠や南極みたいな極地に行ってみたいって人はいるよね。 自分もそんなタイプの一人で、南極は死ぬ前に一度は行ってみたいパワースポットだと考えている。 だって南の端っこだしなんかパワー的なものがあってもおかしくないじゃん。 それにオカルトネタでは南極の地下深くに太古の遺跡があるというロマンあふれすぎる話を聞いたこともあるし、 これは男の子だったらぜったいに興奮するネタだろうが。 海の底に沈んだ大陸というのもものすごく気になるし、モアイ像のイースター島もぜひ旅行で行ってみたい島の一つ。 でもやっぱり南極まで旅行してみたいわ。 人間はおろか動物もなかなか住めない地域に超高度な文明があったとか想像するのは夢があっていい。 宇宙人が別荘を建てていたでも、アイスキャンディーを作る工場があったなんて話でもいいからもう少し南極を調査してくれたらいいのに。 何もなかったとしても、少なくとも何もなかった事実ははっきりするわけだし、成果が得られないってことはないはず。 こうなれば自分自ら航空券を取得して南極大陸まで冒険の旅に出てみることにするかな。 持ち物は防寒着とスコップがあればいいとして、地下に眠る遺跡を発見した時のために最新型のデジカメがあると心強い。 アーネスト・シャクルトンという冒険家を尊敬していて、いつか自分も彼のような立派な男になりたいと思ってたんですよ。 ただただ名誉のために、未知の世界を探求するそのストイックな姿勢に目頭が熱くなった人は数知れず。 でもまあ、南極の探検は無理だから、北海道にカニでも食べに行くことにしようかと思います。 行くとしたら危険と隣り合わせの海外旅行よりも安心安全な国内旅行がベストでしょ。 美味しいカニとイカソーメン、それにカニ！ 旅をするうえで美味しい食べ物がなければ旅行をする意味なんて何一つないと断言できるほどに食べ物って大事ですよ。 何かいい北海道旅行のプランはないものかなぁ。ただ検索できるだけでなく、お祝金や特典情報なども掲載されているので、賢く挙式したいお二人には最適なサイトです。結婚式の二次会って場所も会費もお料理も決めることが多くて大変！負担を軽くして、思い出に残る二次会にしたいですね！そういう時は、二次会エンジェルへどうぞ！,1,,吉野川ラフティング案内,http://www.taoadventure.com/,1,0
,19,モデルみたいに,,cosmetic,モデルさんが素敵なのはなにも着ている服だとか、体型やプロのメイクだけではない。今はテレビでも芸能人の肌状態がチェックできるくらい鮮明に映っているから、彼らの目を見るとカラーコンタクトを付けているのが見えるかも。私としては益若つばさがモデルのカラコンがお気に入りですね。モデルのカッコ良さや可愛さには敵わないけれど、カラコンで瞳だけは芸能人オーラ出せますし。海外旅行へ行くと欧米人のスタイルの良さにびっくりしますね。自分も日本人の中ではそこそこ背が高かったり鼻筋が通っていたりしますが、彼らに比べるとどんぐりの背比べ。せめてあのきれいな瞳だけでも手に入ったら勝負になるんですけどね。カラーコンタクトをいくつか試してみようかな。普段利用しているコンタクトレンズの通販でカラコンも売っているし。,1,,吉野川でラフティング,http://www.taoadventure.com/,1,0
