Post.id,Post.blog_id,Post.title,Post.pagename,Post.menu,Post.content,Post.public,Keyword.id,Keyword.keyword,Keyword.url,Keyword.visible,Arbitrary.keyword
,62,全国大会で旅行,,ryokana ,商売の才能がある人って、ある程度まで会社が成長すると、そこを売り払ってまた別の会社を作ったりするよね。 もう経営が楽しくてしょうがないってタイプだけど、やっぱり才能って短絡的に決めつけたくなるわ。 どこも儲かっていない中でも、大阪に会社設立してから数年で億単位の収益に到達して、また他のベンチャー立ち上げて。 そういう人って、この世界から愛されているよね。 自分もあってみたら、何かその人のカリスマだかなんだかよくわからんものを感じ取れるんだろうか。 騙されやすいタイプだから、宗教の人に詰め寄られると間違いなく堕ちるね。 宗教も面白いところは多くて、死生観とかは各宗教によって違うし、教義を押し付けあわなければもっと平和にやれるのにな。 他の宗教を肯定するってことは自分の宗教を否定することにつながるから、そこがダメなんだろうね。 そこへ来ると日本の神道ってのは八百万の神って考え方が面白すぎる。 日本に来ればキリストもブッダも七福神もみんなひとくくりに神様だから、どこか宗教が入ってきても、 自分のところの宗教の教義と競合してしまうことがないんだよね。 まあそういうのもありじゃね？みたいな軽いノリだから、果たして神道は宗教なのかと思うときもある。 この神道の最高位にいる、ローマ法王みたいなやつが今の天皇らしいけど、一度くらいは肉眼で見てみたい人だよね。 天皇崇拝ってわけじゃないんだけど、あのひとたちって普通の有名人とは何か違うじゃん。 実際目の前に現れると、よくわからん超自然的な力を感じるとか聞くし。 全国大会とか、そういう大きい大会にもなると、表彰の時なんかに出現するみたいで、スポーツマンだと会う機会も会ったりするんだと。 最初はどうせただのオッサンだろうと思っていたけど、リアルで見ちゃうとすげぇ緊張するみたいだね。 今ですらそんな感じだから、昔の人だと感極まって泣き出す年寄りもいるかもしれない。 小学生の時は働かなくても飯が食えるし、いい身分だと思ってたけど、好き勝手に旅行に行ったりジャンクフード食べたりもできないし、 常に一国の頂点としての振る舞いが求められるって、普通の教育や血筋じゃ無理だよね。 帝王学っていうのはそういう人のためにあるみたいだけど、どんなことを教えられるのかちょっと気になるわ。 そういう学校があったら案外ウケルんじゃないかと。 嫌いな人はすごい嫌っていて、戦争の責任を取らなかったとかなんとか。 気持ちは分からんでもないけど、ITの専門学校にいるときは気に入らない政治家とか有名人を銃殺するようなアホゲーム作ってるやつもいたなぁ。 その能力をもっと別に活かせばいいのに、ちょっと切れてるやつって優秀だけどなにかおかしいんだよね。 有名人的な社長を見ると、コイツ頭おかしいだろってノリなのに経営者としてはすごい有能だったり。,1,,人気のフィリピン留学,http://www.cebu21.jp/,1,0
,63,新婚旅行で留学,,buildinga,新婚旅行から課長が戻ってきました。フィリピンかフィジーかで悩んだけど、名前も似ているしどっちも同じだろと嫁さんがフィジーにしてしまったそうです。でもカップルで行く旅行なんて、二人が一緒ならどこでも楽しいですもんね。楽しみにしていたお土産はチョコレート、と思いきや二人が割れたヤシの実の前でガッツポーズをしている意味不明な絵葉書でした。なんだこれ…。南国の島で暮らしたいぜ…。歳を取ったせいか、好きな季節が冬から夏に変わりました。夏はいくら服を脱いでも暑いじゃないと主張してきましたが、冬もいくら服を着たって寒いものは寒い。服を着られるにも限度がありますからね。となると老後の隠居先はタヒチとか沖縄がいいですね。沖縄の人って長寿が多いし、それだけストレスなく暮らせるってことでしょ。,1,,フィリピンへ留学するならこの会社,http://www.cebu21.jp/,1,0
,19,フィリピンで旅行,,live,新婚旅行はどこに？結婚式も無事に終わったので、新婚旅行について考えています。結婚式や指輪、さらには共同生活のための賃貸住宅などで相当お金を使っちゃいましたが、それでも行きたいです。問題はいつごろ、どこに行こうかということです。結婚したのは９月なので、今から行くとなると箱根あたりで紅葉狩りとかの秋めぐりになると思います。秋はおいしい食材も多いし、嫌いではないのですが、今から行くとなるとまだごたごたが片付いていないので行けそうにありません。万全の状態で行けるとしたら、１１月ごろになってしまうかもしれません。無理やり１０月に行くこともできるのですが、それだとちょっとお金を工面しなければならなくなります。かといって、１１月だと紅葉もすっかり散っていると思います。むしろ、もう少し時期をずらして真冬に行くべきでしょうか？真冬ならウインタースポーツもできるし、雪景色も楽しめます。なにより、カニなどのおいしいものをおなかいっぱい食べることができます。行くとしたら東北や日本海側あたりでしょうけど、それだったらさらにずらして北海道で雪まつりにも行ってみたいです。ただ、新婚気分にも鮮度があるので、あまり長い間待ち続けていると、あっという間に新婚気分が終わってしまうかもしれません。どうにか新婚気分を保持しておきたいので、１０月に無理やり行くべきでしょうか。それとも、万全の状態で１１月に行くべきでしょうか。それとも、１２月の年内ぎりぎりに行ってくるべきでしょうか。それとも、２月の雪まつりを待つべきでしょうか。選択肢が多いので、とっても迷ってしまいます。,1,,フィリピン留学はこちら,http://www.cebu21.jp/,1,0
,18,二人でフィリピン,,cosmetic,大事な人ができる・夫婦の大事な記念など、二人で旅行に行くことがあるでしょう。その時、どんなホテルがいいか迷うと思われます。記憶に残る日本一の景色を心に残したい方や静かに過ごしたいなど様々なパターンで過ごしたいという方がいることでしょう。最高の思い出作りをするために、素晴らしい旅館を選ぶ必要があります。良い旅館というのは入口から部屋に行くまでの通路も素敵な感じだと思います。貸切風呂から見れる景色とか素敵だともっといいですね。例えば　 ?山梨県の河口湖にあるホテル開放感のあるホテルから富士山が見えたり、和室・洋室もあるのでくつろぎやすい方で過ごすことができます。?神奈川県の湯河原オリジナルの冷酒を飲みながら「(｀*)ｳﾌﾌ」な気分になること間違いなし。素敵な景色を見ながら、冷酒を飲み、幸せな時を過ごす。　 このような素晴らしい旅館があるので、様々なキーワードで検索し良い旅館を見つけてください。タクシーの運転手さんは優遇されやすいみたいですよ。タクシーの転職なんてなかなか出来ないようですがいつか自分もなってみたいですね。,1,,人気のフィリピン留学,http://www.cebu21.jp/,1,0
,17,海外へ行こう！,,collect,大手の企業がよく海外進出をしています。マクドナルド・コカ・コーラなど知っている会社です。日本からもユニクロが日本で売り上げを一定に残し始めてから海外にも店舗を広げています。海外進出をすることで国外でも売り上げを出せるので会社としてより大きく出来るチャンスだと思います。しかし、その反面リスクも伴うと思います。日本で売れたからといって海外で売れる保証はないですし、生活の違いもあって苦労することのが多いと思います。海外進出をすることは容易なものではないと思います。もし、する機会になったのであるのならば期間を長く作ってしっかりと準備をしなければ向こうに行っても失敗をしてしまうと思います。言語の問題もあると思いますし、飲食店だったら接客マナーなどをちゃんとさせるのに時間がかかってしまうのではないでしょうか。マクドナルドやコカ・コーラは世界各国に進出をしているのを考えるとものすごい会社なんだと思います。日本でのマクドナルド店は売り上げは下がっている場所もあると思いますが、それなりに各店舗で売り上げを出しているのは商品の良さやサービスの良さが売り上げる要因ではないかと思います。アメリカが拠点ですが、各国の店舗でサービスを徹底させていることがいいのではないかと思います。海外進出には大きな覚悟が必要だと思いました。,1,,フィリピンへ留学するならこの会社,http://www.cebu21.jp/,1,0
,103,南国はいいよね,,,男と女とでは結婚に対する価値観がだいぶ違うのではないかと思う。日本は不況による収入の減少や、女性の社会進出の影響もあってか、結婚年齢が高くなっている。ネット上には結婚などしないほうが正解だという意見が多く、そういったネガティブな意見が多いのも 結婚を遠ざけている要因の一つではないだろうか。結婚式というのは別にやらなくても法的に問題はない。 婚姻届にサインすればそれだけで成立してしまうというひどく事務的なものだ。にもかかわらずなぜあえて結婚式を挙げるのかといえば、これは女性の戦略だといえる。というのも、結婚式を行うとなれば親戚や知人を集めて大々的にやるのが一般的である。 式場を借りるのもお金がかかるし、大勢の人を使ったり指輪を買ったりでとにかくお金がかかる。 ここまですると結婚する男性は離婚しづらくなってしまうのだ。そんなことお構いなしに離婚する男もいるとは思うが、まともな神経をしていたら、 式を挙げたにも関わらずすぐに離婚するなど、心情的に難しい。 以上のように、結婚式というのは主に男性側が引くに引けない状況を作り出す上で重要なイベントなのだ。ニューカレドニアを含めた南太平洋の島々を専門に扱う旅行会社だからこその旅行プランがここにあります。リゾートウェディングにも合うブーケです円高の今だからフィジー旅行で豪遊してしまいましょう。南の島というと沖縄もあるが、フィジー旅行にはフィジーにしかない魅力というやつもあるんですよ。外国人の数はフィジーの方が多いし、ネイティブの何言ってんだか分からん英語を聞きながらフィジーの海を堪能するというのがフィジー旅行通への第一歩！結婚なんて法的には届けにサインでOK。でも格安結婚式を東京でできるって知ってます？時代的に若いカップルが結婚式を挙げるのは資金的に無理がある。親ですらお金出すのが厳しい不況だから、東京の格安結婚式プランを使いましょう。安くとも、値段以上の価値がある結婚式が用意されていますよ。,1,,人気のフィリピン留学,http://www.cebu21.jp/,1,0
,185,ネット利用について,,,近年利用者が増えているという通信販売、一般には通販と縮めて呼ばれることの方が多い。特徴としては、一般店舗のように、固定した店を持たずに倉庫などを借りていることである。顧客から注文を受ける方法としては、テレビやラジオ、新聞のチラシ、広告欄などがあるが、こういった媒体は多額の費用がかかるケースが多く、零細業者には難しい。そのため、インターネットを介した取引というのが多い。2000年頃からADSLや光などの高速回線が普及してきたという背景もあり、個人レベルの業者であっても、商品の売買が可能となった。取引される物品というのは、家電、食品、楽器、車など多種多様で、扱われていない商品を探す方が困難だといえる。アダルト系の製品などは、本人が店舗に出向いて買うという行為に嫌悪感のある者も多く、買いたいという欲求はあるが、周囲の目を気にして買えなかった層も購入する機会が増えた。しかし、発送されてきた商品の梱包状態によっては家族に発覚し、必要以上のダメージを受ける場合も少なくない。個人間での取引では、違法物品の売買も行われており、知らずに買った薬が違法な薬物であるなど、利用には細心の注意が求められる。以上のような問題点も抱えているものの、インターネットを利用した通販業務は利便性が高く、今後も利用され続けていくことが予想される。,1,,梱包ならお任せください,http://daiei-inc.co.jp/,1,0
,186,通信販売について,,,通信販売、略して通販は、消費者が家から出ずに商品を購入することが可能な販売形態である。商品購入の申し込み、代金の支払い、あるいは商品受け取りのために近所の郵便局やコンビニなどに行かなければならないこともあるが、その商品を販売している店舗に直接行くことはない。そもそも、店舗がないという通販会社もある。利点は、さまざまな商品が自宅に居ながらにして購入できるほか、同種の商品同士を比べて良いものを選んだり、より安く販売している企業を見つけることができることである。とくにインターネットのウェブサイトで展開される通販なら、それらを見比べ、よりよい選択を考え購入することが可能であり、容易である。さらにインターネット上には、同種であっても製造会社の異なる商品を複数取り揃え、人気度などによってランキングしつつ販売しているサイトもある。こうした競合によって消費者は利益を受けることができるであろう。また通販で買った商品は、代金支払い方法も選択可能なことが多い（クレジット、代引き、振り込みなど）。最近人気なのは、美容用品の通販だと思います。洗顔石鹸や美容液など、評価サイトを見て購入している人が多いようですね。洗顔石鹸は、店舗で買うよりも通販の方が種類が豊富なことが多いです。また、初回は送料が無料だったり、通常価格よりも安いお試し価格で購入したりすることができます。あと、多いのは、アクセサリーや下着、雑貨の通販サイトが多いのではないでしょうか。雑貨は、遠方にお店があって行けないけど、このお店の、このブランドの商品がほしい、と思う方は多いと思います。そんな時は時間も関係なく買い物できる通販がとても便利です。アクセサリーは当然多いですよね。通販で買えば、プレゼントする相手に直接贈ることもできますし、最近ラッピングサービスもあるサイトが多いです。洗顔石鹸といえば、最近エステサロンで脱毛をしています。最初はイタイかなと心配したのですが、ぜんぜん痛くなく、もう体の半分くらいがツルツルになっています。毛根からレーザーで焼いているので永久脱毛ですね。それにしても、エステって次から次へと新しい美容機器が入ってくるみたいです。美容機器は、最新のものじゃないと不安ですよね。なんか、古い機械はリスクがあるような気がしてしまいます。通販で買い物をして、エステで最新の美容機器で脱毛できる、今のこの生活が素晴らしいなって思っています。IKEAの通販ショッピングサイトはここ！　　大人気のIKEAですが、やっぱり家から遠くて行きにくいですよね。そんな時は、ここのサイトでイケアの商品を買うことができます。毎日日替わりのセールも開催していますし、家具の組立サービスもあります。イケアに行くよりも、好きな時間に好きなだけショッピングできちゃいます。レジスターを中古で買うなら、会計ソフトは最新鋭のこちらのソフトをご利用ください！多機能な上に多くのメーカーのレジスターに対応可能なので、とっても便利！もう会社はダメだ打つ手なし?。と輪っかに手をかけた社長！ここはノベルティグッズで起死回生ですぞ！社長の格言や生い立ちに長唄などをプリントしたオリジナルノベルティグッズを作りましょう。インパクトのあるノベルティグッズを手にした人はあなたの会社が気になって仕方ないはずです。これで不渡りギリギリの会社も立ち直るどころか反対側に倒れます！！オフィスのスペースを有効且つセンスよく使いたいなら、パーテーションが欠かせません。一度ご相談ください,1,,梱包物流のプロです。,http://daiei-inc.co.jp/,1,0
,187,発送を待ちます,,,通信販売って利用したことありますか？ものによってはクーリングオフが使えない場合があるそうです。というか基本的に業者がわが決めたルールにしたがって返品を受け付ける、といった解釈をしておいた方が良さそう。それでも通販は非常に便利ですから、これからも使い続けると思います。いつもは腕時計やペット用品などの小さなものを買う程度ですが、一番大きなものでは寝室のベッドを購入したことがあります。部屋に上手く入るのか心配でしたが、寸法をしっかり図っておいたのでどうにか部屋の入り口をうまく通り抜けて、入れることができました。ベッドのような大型の家具の場合、店で実物を見てそれを自力で持って帰るという行為は少しハードルが高いです。なので、結局通販で買うのとそれほど変わりはないものだと思っています。さすがに車とかになってくると額も大きさも桁違いなので、そういうものは実際に店頭に行ってみる必要があるんでしょうね。通販では代引きで取引することがほとんどなので、家にいないと受け取れないってのが難点なんですよね。,1,,梱包のことならこちらへ,http://daiei-inc.co.jp/,1,0
,59,プレゼントを物流,,poster,定期入れ、普段使っている定期入れが傷んでしまったので、今度買い替えることにしました。今までは各線ごとに定期を購入していたのですが、今度から電子カードひとつで行き来できるようになったので、今度は少しコンパクトにしても大丈夫そうです。収入にちょっと余裕ができたので、思い切ってブランド物を購入しようと思います。今まで使っていたのは4000円程度のものでした。当時はまだお金に余裕がなかったので、安いながらも丈夫そうなやつを使っていました。今日にいたるまでいろいな苦労を共にしてきましたが、さすがにもうぼろぼろなので買い替えます。いろいろなブランドのものがあり、高いものだと20000円くらいするものもあります。さすがに20000円のものを買うのはちょっとつらいですが、思い切って10000円以上するものを買おうと思っています。今までも相当頑張ってきたのですが、これからは収入も増えると同時に重要な仕事も任せられていくことになるでしょう。そこで、これからもがんばっていこうと意気込むとともに、これからのステータスとして少しでもいいものを身につければ、運気を呼び込むのではと思ったからです。案外定期入れを買い替えるという方はいないようで、ずっと同じ定期入れを使っている方もいらっしゃいます。普段使うものだから見慣れたものを使い続ける、というのもいいですが、ずっと持ち歩くのに傷んでいる物を使うのは、やはり世間的によろしくないでしょう。,1,,梱包ならお任せください,http://daiei-inc.co.jp/,1,0
