Post.id,Post.genre_id,Post.title,Post.pagename,Post.menu,Post.content,Post.public,Keyword.id,Keyword.keyword,Keyword.url,Keyword.visible,Arbitrary.keyword
,32,おしぼり、というワード,,,おしぼり、というワードを聞いてまず連想するのが、ファミレスである。席に着くとすぐ持ってきてくれるあのおしぼりのおかげで、わざわざお手洗いに手を洗いに行く手間が省ける。しかも、飲み物やスープなどの汁物をテーブルや床にこぼしてしまった時の対応にも使える。私は絶対やらないが、広げたおしぼりで顔を覆うおっさんをよく見かける。あれは、気持ちよくてやっているのだろうか。それだとしても、そんなこと家でやれと言いたい。そこまで下品というわけではないが、ファミレスという公共でしかも主に家族団らんで食事を楽しむ場であれはどうなんだ。よろしくないと思う。少し話がそれてしまったが、おしぼりは他にも様々なアート（というのは大げさではあるが）に使える。私は作り方を知らないが、友人がおしぼりで鳥を作って見せてくれたことをよく覚えている。他にもタコとか、折り鶴も作っていた。実に来ようであった。このように、ファミレスにおけるおしぼりの用途は様々だ。,1,,おしぼり?,http://www.e-shizai.net/,1,0
,32,ただ単におしぼりと言っても,,,ただ単におしぼりと言っても、ものによってはあっつあつだったり、冷たかったり。最初あまりにあっつあつで火傷するかと思うほどの時もあるが、個人的にはあのあっつあつをビニールから出して、少し冷ましたものがちょうどいい温度になっていて好きだ。あまりにも冷たいおしぼりは、手を拭いている間に体がとても冷えてしまう。夏の室内であまりにクーラーが強すぎると会長を崩してしまうタイプである私にとっては、冷たすぎるおしぼりはあまり好ましくない。それだったらあっつあつの方がいいのだ。それ故に、私は夏より冬が好きだ。いや、できれば秋がいい。これはあくまで「夏と冬」の二つの選択肢で考えた場合だ。夏の暑さは耐えられる。しかし、夏の室内の冷房の寒さが大の苦手だ。なぜ夏に寒い思いをしなければならないのか、その理不尽さが腹立たしい。その点冬の寒さは、厚着が公然と許される季節なのでなんとかなる。とはいっても、冬は冬で「暑すぎる暖房」という、問題が発生するのだが……。,1,,日本最大級のおしぼり通販サイト?,http://www.e-shizai.net/,1,0
,32,おしぼりについて話すことなど,shiborishibori,,おしぼりについて話すことなどたかが知れているので、かなり早い段階でインターネットの手助けを借りる形となった。さすがインターネットというべきか、たった一言「おしぼり」と検索をかけただけで約906.000件もヒットした。もちろんネタが重複しているものもあってこの数字なのだろうが、これだけの数がヒットすることに驚きを隠せなかった。しかも検索結果とは別にで出る広告では、「日本最大級」と銘打たれたおしぼり通販サイトのリンクが出現した。なんだおしぼりの「日本最大級」って。気になったので少しのぞいてみることにした。なるほど、さきほど記事にしたファミレスで配られるような業務用のおしぼりから、高級料理店などでよく見かける竹を割って作ったようなおしぼり置きなど、あらゆる分野のおしぼりを扱っているようだ。他にもティーセットとともに使用できるチョコケーキ風おしぼりなどよくわからんものまであった。そんなものを客に出して、間違えて口に入れてしまったらどうするつもりなのだろうか。,1,,おしぼり通販感動業務用資材市場｜イーシザイマーケット,http://www.e-shizai.net/,1,0
,32,おしぼりが漢字に,oshibori-guriguri,,おしぼりの記事が四つ目に達したわけだが、折り返し一歩手前というのはなんだかとてもつらい物がある。特にわずらわしいのが、「おしぼり」と打ち込むと反射的に変換キーを押してしまい、「お絞り」としてしまうことだ。これをもう何回やってしまったことか。いちいちバックスペースキーを連打する不毛感が半端ではない。ちなみに「おしぼり」を「お絞り」と漢字を混ぜて表現することは間違っているのだという。その理由は特に語られていないが、あまりにも「おしぼり」という表記に慣れすぎてしまったことも相まって、「お絞り」という表記を見ると首を傾げてしまう。なんというか、締まりがない。頭の中で（お……ん？　あ、ああ、これ”しぼり”って読むのか）と一瞬迷う。その一瞬がとてもわずらわしい。似たような感覚の表現として、「おにぎり」を「お握り」というのを思いついた。確かにこれも締まらない。同じく「おにぎり」と読む表記であるのに、後者の「お握り」がなんだか許せない。,1,,おしぼり?,http://www.e-shizai.net/,1,0
,32,おしぼりアート,,office,おしぼりアートについて、友人や家族が見せてくれるもの以外詳しくなかったのでインターネットで調べてみたところ、そのれパートリーは相当なものがあることが分かった。ウサギ、クラゲ、ウシ、ネコ、ブタ、ヒツジ、ヒヨコ、ペンギン、カタツムリ、などといった動物シリーズを主として、クロワッサン、桃、椿、はてはネコミミまで実に幅広かった。お絞りアート体験会に参加した旨を伝えるブログによると、どうやらおしぼりアートの第一人者がいるようだ。その達人の必殺技は「かまいたち」といって、ビニールに入ったおしぼりを指で軽くはじくだけでスパッと開けるというものだそうだ。そのブログでは「かまいたち」の映像を上げてくれていたので、どのような技なのか観ることができた。それはビニールの先を持ち、中に入っているおしぼりの重みを利用して……ここから先は、自分の目で確かめていただきたい。これは、一度見てしまったらファミレスでやりたくなること請け合いである。私も今度やってみる。,1,,日本最大級のおしぼり通販サイト?,http://www.e-shizai.net/,1,0
,32,おしぼりの定義,,fudousan,おしぼりの定義とは、日本における飲食店などで手渡される手拭き道具であるとのこと。あたたいおしぼりを「アツシボ」、冷たいおしぼりを「ツメシボ」と略すことがあるらしいが、そんな言葉私は今まで聞いたことがない。ていうか。「アツシボ」「ツメシボ」って、めちゃくちゃかわいい略し方ではないか。例えば熱いお茶を「アツオチャ」、冷たいお茶を「ツメオチャ」ということもできそうだが、おしぼりの「シボ」が、かなり語呂がいい。何もせずともかわいさを連想してしまう。濁点のつく文字で終わる二文字の言葉では他に「ツボ」が思い浮かぶが、「ツ」よりも「シ」の方が力が抜けていてかわいさにつながっている。それに「オチャ」って略し言葉ではなくそれだけで成立してしまっていてつまらなかった。おしぼりを「シボ」と略すだけでこんなにもかわいくなるとは、全く予想外だった。「シボ」を利用したユルキャラとかつくったら中々ヒットするのではないだろうか。,1,,おしぼり通販感動業務用資材市場｜イーシザイマーケット,http://www.e-shizai.net/,1,0
,12,１０月２９日は「おしぼりの日」,,,突然であるが、１０月２９日は「おしぼりの日」なのだという。「１０本の指（tenを”て”とする）を２（ふ）と９（く）の語呂合わせ」という、なんとも無理やりである。これを定めたのは全国おしぼり協同組合連合会という組織だ。……なんだそれ。おしぼりの組合だか連合会だか、そんなものが存在するというのか。調べてみると、確かにあった。公式サイトにおしぼりをモチーフとしたマスコットキャラが出迎えてくれた。しかもないやら環境大臣から感謝場を授与されているようだ。一体どんな活動をしている集団なのか。どうやら１６組合２８７社で構成されていて、主に貸しおしぼりのレンタルを取り扱っているようだ。品質管理に徹底しているようで、衛生マーク（「クリーンでサニタリーな状態であることの証」であるそうだ）を使用していた。そしておしぼりのリユースによって、環境大臣から感謝状をいただいたようだ。生活の中で当たり前となっているおしぼりは、この全国おしぼり協同組合連合会の働きによって、清潔が保たれていたのだ。,1,,おしぼり?,http://www.e-shizai.net/,1,0
,12,温かいおしぼりについて,,poster,温かいおしぼりについてだが、まずどうやっておしぼりを温かくしているのかというと、おしぼりに水分を与える際に温水、もしくはスチームをかけて水をしみ込ませることによって温かいおしぼりを作るようだ。その際加熱器なるものを使うらしい。加熱器、もしくはタオルウォーマーなるものは一般にも購入可能なようで、しかも売上好調のようだ。一度に加熱できるおしぼりの量で大きさと価格が異なり、トースター大のものは２５～３０本。それよろ一回り大きいもので３５～４０本。小さめのレンジ大のものが４５～５４本。もはやこれ冷蔵庫なんじゃないかという大きさと見た目のものは２５０～３００本を一気に過熱することが可能なようだ。さらに、ただ加熱するだけでなく細菌を殺菌しながら温めるための殺菌灯がついたおしぼり器や、スチームで加熱するものなどさまざまな種類があるようだ。おしぼり加熱器をあつかっている会社は、他にも炊飯器や食器洗浄機、フライパンなども制作している。,1,,日本最大級のおしぼり通販サイト?,http://www.e-shizai.net/,1,0
,12,ファミレスで配られるおしぼり,,money,ファミレスで配られるおしぼりでまず私が思い浮かべるのは、ちゃんとした布のおしぼりと、紙より丈夫だがウェットティッシュに近いおしぼりも連想する。後者のほうは、紙製、不織布と呼ばれている。これは「フショクフ」と読み、繊維を熱や機械、または化学的に接着、組み合わせて作るもので、フェルトもその一種である。不織布、すなわち織っていない布。ランダムに編みこまれたものは、ある一定の強度や伸びに弱点的方向性を持っておらず、割かし丈夫。もちろん安価での大量生産も大きな長所である。また素材も複数のものを組み合わせることができ、その際厚みや空隙（クウゲキと読むようだ。勉強になる）を簡単に変更することができる。大量生産、大量消費の現代の申し子の一つとも言えるものだ。だがもちろん、それゆえの短所も存在する。まずはやはり強度だ。それはしっかり織りこまれた布に比べたら圧倒的に劣る。利益と効率を重視し、クオリティが犠牲になりのは現代の悪循環だ。,1,,,,1,0
,12,今や配布するおしぼりの大多数,,,今や配布するおしぼりの大多数を占める不織布であるが、その歴史は１９２０年にさかのぼる。始まりはドイツのフェルト業者が、毛くずと紡毛を接着剤で固め、フェルトの代用としたものであるようだ。想像すると、あまり手の拭き心地は良さそうではない。もしかしたら、そのフェルト業者が務める会社が不調で、費用を抑えるためにアイディアを絞り出したではないだろうか（おしぼりだけに）。なんと日本でも誕生のきっかけが存在していたようだ。１９５６年に繊維を扱う業界の何社かが、アメリカから不織布の製造装置を購入し、その中のある企業が独自で製造に成功。そこから日本における不織布の歴史が始まったようだ。１９５３年にはそれら企業間にて不織布懇話会なるものが結成され、後の日本不織布工業会となった。これは、全国おしぼり組合連合会とは関係ないようだ。大量生産、大量消費は以前ならば企業の夢であったが、今ではそのデメリットを噛みしめつつも抜け出せないという負のスパイラルとなっている。,1,,おしぼり?,http://www.e-shizai.net/,1,0
