Post.id,Post.genre_id,Post.title,Post.pagename,Post.menu,Post.content,Post.public,Keyword.id,Keyword.keyword,Keyword.url,Keyword.visible,Arbitrary.keyword,,,
,23,リフォーム済のマンション,,,誰しもできることなら最新設備の綺麗な家に住みたいと思っていることだろう。しかしそのような家を一から建てるには恐ろしいほどの大金がかかる。そこでリフォームだ。風呂やトイレだけなど部分的な改築なら一から建てるより格段に安く収まる。現在の家の中で不満のある箇所だけを改築するのだ。不景気な昨今家を建てるよりこちらの方に需要があるようだ。気に入らなくなったものはすぐに捨て新しいものを買うというのは近代以降の人間の悪しき習慣であるが今あるものを直して使い続けるといういわゆるエコな発想がこの分野でも盛んになってきているのかもしれない。それはとても良いことである。しかしだからといってやたらと行うのは考え物である。家というのはそれ全体で一つの世界感を持つ。その中で一部だけを不釣り合いなものに改築してしまっては不恰好になってしまう。私の母方の実家は築80年を超えていると聞いたのが幼い頃のことだったので今はもう100年を超えているかもしれない。それほど歴史ある家であるが少し前にトイレの改築を行った。黒光りする板床の縁側を進むと突然真新しいスライド式のドアが現れその中にはウォシュレット付きの洋式便器があるのである。祖母の高齢化によるバリアフリー化なのでしょうがないのだがどうしても違和感を覚えてしまう。東京育ちの私にとって夏休みの度に帰ったその家は心の故郷なのである。東京の家のマンションとは全く違う木造平屋建ての家を愛していた。それがツギハギだらけのフランケンのようになってしまったのは何ともやるせない。,1,,リノベーションのマンション,http://www.vivid-wall.net/,1,0,,,
,25,お墓の話,,,お墓の話。最近は「終活」なんていうふざけてるのかマジメなのかよく分からない名前でお墓探しが盛んになっている。考えてみると人間は次々と死んでゆくのに対してお墓というのはその基本的なコンセプトとして永遠に残る残すべきものということが想定されている。その結果として必然的にお墓は増え続けてゆく。日本は火葬なのでまだマシだが西洋では土葬なのでそのうちお墓だらけになってしまうのではと不安になってしまう。日本では高齢化社会が進行しているからこれから一斉にバタバタと死んでゆくだろうし世界的にも人口は増え続けているのだからそれはつまり少なくとも60億人分のお墓が必要ということだ。お墓のニーズは宿命的に高まっている。しかしだからといって安易にバンバンと建てられないのがお墓の難しいところだ。お墓が隣にある物件はそれだけで価値が下がってしまう。そりゃ自分の家の隣にお墓があったらやっぱり嫌である。だから街中にはなかなか建てられないし田舎だとアクセスが悪く参りに行きずらくなる。終活が紛糾しているのもこのジレンマが一因となっているのかもしれない。時に学校の近くにお墓がやたらと多いのにお気付きだろうか？それはなぜというと学校というものができたのは明治維新後でありその頃には既に学校のような大規模な施設を建てられる土地はお墓の隣など人が住みたがらない場所しか空いてなかったからだという。そのおかげで多くの学校の怪談にハクが付いた。このように前向きに考えてお墓という存在を受け入れることがこれからの時代には必要なのではないだろうか。,1,,霊園の神奈川,http://www.marusan.com/,1,0,,,
,7,友達の結婚式,,,友人の結婚はもちろん喜ばしいことで本当に心の底から祝ってやりたいと思っているのだがそれを阻む諸々の事情がある。まずお金である。ご祝儀は馬鹿にならない。私のような20代での友人同士では3万円が相場であるらしい。少し高い。2万円になるだけでも大分違うのだが偶数だと割り切れてしまうので縁起が悪くダメだという。かといって1万円では少なすぎる。それでは2万5千円ではダメなのだろうか？最近若者の間では一万円札一枚と五千円札二枚なら三枚で奇数だから2万円でも大丈夫という風潮があるようだ。このことをネットで知りさっそく実践しようと意気揚々と新郎に提案したら怒られた。各々への食事代や引き出物などの諸々の式の費用で2万円は超えてしまうらしい。確かにそれは問題だがないものは出せない。新郎新婦に無断で少ない金額を渡すより恥を忍んで正直に打ち明けた私の誠意も慮ってほしいものだ。まぁ無断で渡してもご祝儀袋の中身を検めるのは新郎新婦が二人でやるらしく友人の方だけでなく面識のない相手方まで不誠実さが露見してしまうのだが。そんな時のためにご祝儀2万円＋プレゼントで帳尻を合わせるという方法があるらしい。プレゼントなら実際の金額が曖昧になるし先方の喜ぶ物や意想外で良い物を選べればむしろ好印象になるかもしれない。私もそうしようと考え新郎には内緒で「金がないから2万円で」でその場は押し切った。結局は直前のゴタゴタで用意できなかったのだが。,1,,ハワイでの結婚式なら,http://www.hawaiianbridal.com/,1,0,,,
,5,中学生の時の悩み,,,中学生くらいの頃はよくネットゲームをやっていたが最近は個人でやっているようなものはあんまり見かけないねぇ。ネトゲ自体初ログインしてから天文学的数値のレベルをしたキャラがゴロゴロいて初日で辞めたことも多かった。どんだけプレイしてんだよってやつを見るとやる気をなくすのは俺だけかな。超上手いゲームの動画を見るとこんなうまいやつがいるのなら極めるのは無理。そういう判断をして買わなくなる。あれくらいなら自分でもできそうって部分がないと挑戦意欲がそがれるんだよね。誰だって自分に勝ち目のあるゲームをしたがるもので一度も勝てないようなゲームはやりたがらないのがふつう。ネットの普及で暇つぶしには全く困らなくなったがその代わりに見ない方がいいものも増えたと思っている。世界の広さってものをあまり早い段階から知ってしまうと努力しても無意味だとか考えてしまう子が増えるのではないか。これも少し深く考えると途中で嫌になることというのは好きなことではなく得意なことだと思う。たまたま他人よりも上手くできるから自信をつけるためにもっと上達しようとする。本音ではあまり好きではないのだが周囲が応援してくれる期待してくれるからもっと上に行こうと努力するようになるんだな。でもいつか自分よりもはるかに上の人間にぶち当たって挫折する。それはクラスですごくサッカーの上手い子だったり毎回賞を取るくらいに絵の上手い子だったりhellip仮に心の底から好きなことであればそういうことは一切気にしない。お金になるならないではないし他人から褒められるというのも関係ない。ものすごくシンプルに自分が好きだからやっているという理由は強い。下手だ才能がないお金にならない無駄。これらのネガティブな言葉をいくら掛けられても辞める気がしない。好きな食べ物のことをどれだけ否定されてもおいしいのだからそれでいいだろうという論理。そういう意味では得意なことよりも好きな物事の方が強いのではないだろうか？,1,,おならでお悩みの方,http://onara.co.jp/,1,0,,,
,2,大阪、北新地で働こう！！,,money,今から１０年前。私は大阪梅田の北新地。高級クラブの一等地と言われるその場所のとあるクラブで働いた。元々違う場所のキャバクラに勤めていた私。新地に行くキッカケになったのは要するにスカウトだった。顧客だった不動産業の社長から『新地で働けば？』と言われていた事からだ。私は店の女の子が何人も新地へ行っては店に出戻りしてくるまたは違う近くの店に勤めていると言う事を何度も見てきた。いくら時代が過ぎたと言えども腐っても新地。そんなに簡単なものじゃないんだろう。『私なんかは新地じゃ通用しないですよ』と流していた。しかしある日また社長がいつものように部下を連れて来店。また同じ話を切り出した。『多少厳しくても時給５千円とかのレベルやで？チョロいやん♪』私はそんな考え方の人とは働けない。少なからずそんな言い方をして新地へ行った女の子達。そしてプライドも捨てて出戻ってきた女の子達。そんな事にはなりたくない。そんな話に食い込んでくるのは社長以上に部下の人。『あなた誰ですか？(笑)』と聞きたくなる程の食い付きよう。社長は黙っていたが社長が通う新地の店の一度だった。社長曰く新地で私に席に付いて欲しいらしい。それならここに来てくれればいいだけだけど横の付き合いでは見栄もあり接待するのはどうしても新地と言うブランドが必要なのだと言う。『要するに社長の見栄の為に私が新地へ行けと？』『そう！！そんな賢いところがお前の売りや！！』いやいやいや(笑)話の結果ご法度だが掛け持ちで数回なら新地へヘルプに行く事を了承した。今の店には内緒だが新地の店の人も『肌が合うなら是非来てほしいからしばらくは体験で構わない』と有り難く言ってくれた。,1,,渋谷の風俗はこちら,http://fuzokudx.com/arealist/show/id/487,1,0,,,
,2,お水のナイトワーカーは誰でも稼げるわけじゃない,,deli,お水系の仕事いわゆるナイトワーカーの世界ってとりあえずその仕事につけば誰でも並の昼職よりお金を稼げると思っている人って結構いますよね。でも現実ってそんなに甘くないです。ナイトワークは世間的に下に見られてるけどこの世界にも秩序やルールはありますし軽いノリでやっていけるような業界ではありません。まぁそれでも普通のバイトと比べたら時給は高いかもしれないです。高いかもしれないけど時給だけもらってニコニコしてるようじゃすぐに貧乏になってしまうと思いますね。この仕事気力も体力もかなり必要とされますから。まず夜に働くというのがどれだけ人間の体に厳しいかという。これは昼職系の人も夜勤だったりで経験すると思うけど私たちはそれに酒とタバコと飯と風俗の人は直接体も酷使しますからね。とにかく普通の夜勤の人より確実に健康面での体はダメージを受けます。だから生半可な気持ちでやってたら適当に金稼いで体ダメにしてあっけなく終わりますよ。結構上に上り詰めた子でも体ダメにしてすぐやめていくこと多いですからね。体がダメになったら昼職に戻れば良いけど一回ダメになった体はもう元気な体には戻らないです。だからやっぱり体調管理は絶対に必要です。ここぞというときは無理をしてもトータル的には体調管理はしっかりやる。また仕事は絶対にプロ意識をもって働かないとダメ。特に風俗で稼ぐならちゃんとお客さんとる努力しないとずっとお茶のみして終わりですよ。リスク高いお仕事やってるのに大して稼げなかったら意味ないでしょ？最近はこっちの業界も不景気だからこの業界に足踏み入れさえすればお金も入ってチヤホヤされて一石二鳥のお仕事と思ってる人は考え直して。お金がない人はお金を貯めるとか借金返すとかあと夢がある人はその夢のために頑張るとかそういう目標をしっかり持って働いてる子の方がお仕事中も輝いている感じするし仕事もできると思いますね。,1,,渋谷の風俗探しなら,http://fuzokudx.com/arealist/show/id/487,1,0,,,
,2,売れるキャバクラ嬢と売れないキャバクラ嬢の違い,,bar,キャバクラといえば水商売の代名詞として多くの人がイメージするのではないでしょうか。またキャバクラ嬢としての仕事は高収入と言われ多くの女性がキャバクラで働くようになっています。とはいえキャバクラ嬢の中にも売れる人と売れない人がいます。ではどのような違いがあるのでしょうか。今日は売れるキャバクラ嬢の秘密に迫りたいと思います。まず売れるキャバクラ嬢の共通点は会話術です。もちろん外見がきれいというのも関係がありますがそれだけで売れるほどキャバクラの世界は甘くありません。やはり大切なのはどれほど会話をしてお客様を気持ち良くさせることができるかです。では具体的にどうすれば良いのでしょうか。一つの方法は相槌です。なぜ相槌はそれほど大切なのでしょうか。キャバクラ嬢にとって良い会話とは相手に話してもらうことです。とはいえそのためには相手の話をきちんと聞いていることをきちんと伝えなければいけません。そこで必要なのが相槌なわけです。相槌は相手の話をきちんと聞いていますよというサインになります。しかしただ相槌をするだけではダメです。上手な相槌とは相手の話していることをさらに聞きたい知りたいと思い質問することが含まれています。こうしたちょっとした質問を投げかけることで相手はさらに気持ち良くなって話をするわけです。こうしたちょっとしたテクニックを駆使すると売れるキャバクラ嬢へと一歩階段を登ることができます。,1,,渋谷で風俗へ行こう,http://fuzokudx.com/arealist/show/id/487,1,0,,,
,2,キャバクラで出会いました。,,fuzoku,わたしは３０代前半の男性です。今から１０年ほど前にキャバクラで運命の出会いをしました。当時わたしは大学出たてのサラリーマンでした。初めて上司にキャバクラに連れて行ってもらいました。（ガールズバーには行ったことがありますがキャバクラは人生初でした。）初めてのキャバクラは雰囲気に圧倒され綺麗な女の人とお金を持っていそうなお客さん正直自分は場違いでとても緊張したのを覚えています。そんな時わたしと同じように雰囲気になじめていない女の子がいました。年齢は当時２１歳でアルバイトでキャバクラをしながら大学生に通っているとの事でした。その日が初出勤だったそうです。なんとなくわたしはその女の子が気になり自分から声をかけてみました。年齢が近い事趣味が似ている事（サッカー好きでガンバ大阪ファンでした。）なによりお互い雰囲気が似ていることもあり随分と仲良くなりました。帰り際に名刺をもらいそこには手書きでメールアドレスが書いてありました。営業だとは分かっていましたがなんとなく連絡を入れるとすぐに返信がありしばらくはメル友をしていました。またお店に行ってみると連絡したら初日でお店は辞めたとの事でした。（時給は高かったけど自分には合っていないとの事です。）そんなわけでプライベートでも会うようになりしばらくするとどちらからともなく付き合うようになりました。それから４年後なんとなく結婚する事になりました。わたしは今までキャバクラは人生で一回だけしか行ったことがなく妻もその日だけしか働いたことがなくまさに運命の出会いだったと思っています。,1,,渋谷の風俗はこちら,http://fuzokudx.com/arealist/show/id/487,1,0,,,
,2,風俗嬢の悩みと対策,,tantei,風俗嬢になってから友人は悩みができたといいます。それは１日に何人ものお客様を相手にしないといけないのでシャワーを何度も浴びます。シャワーを何度も浴びるたびにお肌が乾燥してカサカサになりやすくなったそうです。デリヘルだと移動するときも乾燥しやすくなるといい乾燥肌対策は大変なんだとか。シャワーが終わった後にはしっかり保湿クリームを塗るんだそうです。たまにお客さんで保湿の事を気にしてくれる人もいるらしくクリームを塗ってくれる人がいたそうです。風俗嬢がお客様にこんな事をさせてはいけないんだろうと思いつつもお客さんは喜んでいたのでそれはそれでいいのかなと言っていました。家に帰ってからもお部屋はなるべく乾燥させないようにしているそうです。食べ物もなるべく手作りの物を食べるようにしビタミンCはしっかりとってお肌のケアをいたわっているのだとか。たまにはエステに行ってプロの手を借りる事もあるんだそうです。ツルツルになったお肌を見てうっとりするのだとか。お肌のお手入れは風俗の仕事をしてからすごく大変になったそうなのですがお客様によりよいサービスを受けてもらうためにも自分のお肌のお手入れはしっかりするのだそうです。そんなことを聞いて私は日頃お肌のお手入れには億劫になっていましたが女子力を高めるために頑張ろうと思いました。キャバ嬢をしている彼女といると自分にも刺激を与えられて女子力を高めようと思えるようになってきます。,1,,渋谷の風俗探しなら,http://fuzokudx.com/arealist/show/id/487,1,0,,,
,2,繋ぎで始めたデリヘルだったけど,,credit,まさか自分が風俗の仕事をするとは夢にも思わなかったのですが勤めていた会社がブラック企業だった為失業保険も出ず生活の繋ぎでとりあえず始めたのがデリヘルの仕事でした。最初は訳分からず先輩から色々と指導を受けましたがそのうち自分を指名してくれる顧客も出来てこの仕事をやめられそうにありません。自分を指名してくれる利用者の中にこんな方がいました。その方は軽い弱視で家でマッサージの仕事をしていました。仕事場から少し離れた所に自宅がありそこで決まった曜日にお風呂場でサービスを提供していました。体型は太っても痩せてもなく普通でしたが手が商売という事で手をいつも綺麗にしていました。歳は40代後半ぐらいで少し佐藤浩一に似ていました。目が見えなくなったのは高校２年の時だと言っていました。いつも私がたっぷり石けんをつけて洗ってあげるのですが気持ちがいいのか途中で眠ってしまう事もしばしば。目は余り見えなくてもちゃんと仕事を持って自立してるのにどうして結婚しないのだろうかと不思議なくらいでした。自分がこんな仕事をしてなかったら付き合ってもいいかなと思うぐらいお気に入りの方です。もう一人の利用者の方は30代後半の方でいつもサービスの時に家庭内のいざこざの話しをしてきて毎回同じ内容なのでうんざりしています。こんな仕事であっても利用する男性の方々は精神面も飢えていて満たされていないのがよく分かりました。ブラック企業に勤めていたより今は生活も楽になりもう暫くはこの仕事を続けていくつもりです。,1,,渋谷で風俗へ行こう,http://fuzokudx.com/arealist/show/id/487,1,0,,,
