Post.id,Post.genre_id,Post.title,Post.pagename,Post.menu,Post.content,Post.public,Post.public Keyword.id,Keyword.keyword,Keyword.url,Keyword.visible,Arbitrary.keyword,
,23,坂本竜馬のお墓参り,,home,以前司馬遼太郎さんの「竜馬がゆく」を読んではまっていた時京都に行く機会がありました。普通だったらお寺や女性向けのお店やカフェなどに行くのですが友人に付き添ってもらい坂本竜馬のお墓を見に行きました。お墓があるのは霊山護国神社です。すぐ近くには高台寺や円山公園があり清水寺に行く通り沿いです。そんな中こちらの神社はひっそりとあります。この神社には幕末の志士のお墓がたくさんあります。階段状になっていてお墓が多く並んでいるのですがその中でも坂本竜馬のお墓の前は少し広くなっていて人がたくさん集まっていました。私達以外ほとんど男性でした。一緒に暗殺された中岡慎太郎の墓と並んで立っています。お墓の横には２人の銅像も立っています。墓の前の展望台のようになっている場所からは京都の町が一望できるようになっています。わたしはお墓参りをするとそこで記念写真も撮ってしまいました。お墓の前で写真を撮ったのはその時だけだと思います。他にももっと上の方に有名な人物のお墓はあったのですが疲れたので行くのはやめました。その何年か後に伏見の寺田屋に行ったり高知の桂浜や記念館に行ったり今でも影響は受けていると思います。,1,,神奈川の霊園情報,http://www.marusan.com/,1,0,
,23,墓参りをして思ったこと,,life,先日母の墓参りに行ってきました。墓を新たに購入したのはもう10年もまえになりますが初めてということもあり当時は悩むことも多かったです。中でもどこに墓を購入すべきかという問題が大きかったです。私の祖父母は交通の便が悪いところに墓を購入してしまい毎回の墓参りがかなり大変なようでした。更にその近辺に親戚などもいなかったので墓参りの足も次第に遠のいてしまうとのことでした。そういうこともあって私は祖父母を始め親戚が複数住む土地の近くで交通の便もよい所に絞って霊園を探しました。最終的には私の実家からも祖父母や親戚の家からも30分もあれば着いてしまうような所に決めました。実際に行ってみて空気も良かったですし日当り良好でよい土地でした。そのような近場に墓を購入したメリットは家族同士で集まった時に気軽に墓参りができることですね。遠隔地に墓を立ててしまうと墓参りというそれだけで何か大きなイベントのようなものになってしまいます。しかし近場ですとふらっと立ち寄ることもできるので故人も寂しい思いはしないのではないでしょうか。私は結婚してからは別の県に移ってしまいましたし父は海外に単身赴任しているので墓参りに行くのは一年でも数回です。しかし家の近くに墓を購入したので実家に滞在している何日かの間に気軽に行くことが出来るのです。以前父と墓の話をしましたがやはり家の近くの行きやすいところに墓があるのはよかったとのことで意見が一致しました。慣れないながらも十分に検討して今の霊園に墓を立ててよかったと家族全員で満足しています。,1,,神奈川の霊園情報サイト,http://www.marusan.com/,1,0,
,23,仏様を参るのがお墓参りになるお寺,,work,皆さんは「お骨佛」って聞いたことがありますか？この不思議な響きの仏様は大阪の一心寺というお寺に祀られています。私がこのお寺を訪れたのは結婚して大阪に越してからのこと。義母が仏さんをお参りに行くというのに付いて行ったのが初めてでした。お骨佛と聞いた時は骨を組み合わせて仏様ができているのかと思いましたがお骨いわゆる遺灰を集めて粉状にしてふのりと混ぜて造立した仏様なんだそうです。宗派を問わず遺骨を引き取って10年ごとに仏様は作られているようです。義母が仏様をお参りに行くと言ったのは義母の友人もその仏様になっているからなのでした。墓石ではなく仏様をお参りすること自体がお墓参りになるのです。お寺も天王寺動物園のすぐ近くにあり境内の参拝者も絶えることがありません。「賑やかでええやろ？お母さんも墓に入れんと仏さんにしてなみんなで入るから寂しくないし」お墓参りというと普通に墓石に手を合わせるイメージしかなかったのですが仏様に手を合わせることがお墓参りになるというのは目から鱗でした。お骨はどんな貴金属より尊いもの。それで仏様を作ることは無上の価値のあることなのだとこのお寺は謳っています。うちは子供がいない夫婦なので将来的にお墓をどうするかはぼんやりとした不安になっていました。このお寺の存在を知って光明がさしたような気がします。,1,,神奈川の霊園紹介,http://www.marusan.com/,1,0,
,23,お盆の墓参りの疑問,,,お墓参りというのは何をする行為なのかを質問すると多くの人はお墓の中にいるご先祖様に挨拶をするというのが基本的な回答になると思います。そのために遺骨を納めるのですから当然です。中にいるご先祖様が快適に過ごせるように水や花を入れ替えるのもよくわかります。そこで気になるのがお墓参りに行く時期についてです。頻繁にお墓参りに行く人は別にして大半の人がお墓参りに行くのはお盆だと思うのです。そしてお盆といえばご先祖様があの世からこの世にやってくるというイベントなわけです。ここで疑問になるのがお盆の時期にご先祖様は結局どこにいるのか？という問題です。普段はお墓にいるものとしてお世話をしていると考えるとお盆の時期は自宅に来ているわけでその時期のお墓参りはすなわち留守宅を訪問しているという事になるのではないでしょうか？１年の中で数少ないお墓参りの日にわざわざ留守の日を選ぶというのも変な気もします。というわけで調べましたが墓石というのは単なる目印などではなく悟りを形にしたものなのでそれに向かって手を合わせるだけでも意味があるという説明がされていました。正直ちょっとよくわかりませんが普段死者を守ってくれている住居に感謝をささげると考えて真摯な気持ちで手を合わせるということでいいのではないかと思います。,1,,神奈川で霊園を探すなら,http://www.marusan.com/,1,0,
,23,お墓を探した思い出,,,大学生になり地元を離れて一人暮らしをはじめて間もない頃に小学生から中学生までの頃に仲の良かった友人が事故で亡くなったという連絡がきました。地元まではかなり距離がある上にバイトもしていない頃で帰省するには金がなさすぎたため葬儀に出席もせず世間の常識もろくに知らなかったこともあり花を出すとかの発想もなく気にはなっていたものの何もしないままでいました。その後帰省した際にふとその事を思い出しせめてお墓参りぐらいは行こうと思ったのですがまだ亡くなって間もない家族の方にお墓の場所を聞いていいかどうかもわからなかったため自分で探してみることにしました。昔一緒に遊んでいた時に先祖代々のお墓がある墓所については聞いていたので一人でそこに向かい一つ一つのお墓を確認して探しました。まるで無関係な人のお墓も確認しながら歩いていると様々な年齢と名前の人がそこに葬られている事がわかり自分が今生きている事が特別なことのように思えました。外から見るより墓地は広くて考えていたよりもお墓の数も多かったのですが苗字である程度見分けがつきやすいこともあって無事に見つけることができました。手を合わせて仲良くしてくれた事に感謝すると何とか義理を果たせたような気持ちになりました。,1,,神奈川の霊園情報,http://www.marusan.com/,0,0,
,25,宗教によってお墓参りをする時期に違いがある,,,夏のお盆が過ぎると秋のお彼岸がやってきて毎年この時期はお墓参りなどの需要が高まっているシーズンです。多くの方はこの時期にお墓参りをするのが普通だと思っているかもしれませんが宗教によってはお墓参りの日程には違いがあるのをご存じでしょうか。お墓参りといえば命日をはじめお盆やお彼岸に行うものと考えられています。このお盆やお彼岸というのが仏教独特のお墓参りの時期となっています。基本的にどの宗教であってもお墓参りに制限はありませんがどの宗教でも節目などにお参りをすることが多くなっています。例えばキリスト教のカトリックの場合は命日と聖節の翌日である11月2日にお墓参りを行います。11月2日は万霊節とされ教会に集まってミサが行われます。この日を死者の日としてお墓参りを行います。プロテスタントの場合であれば同じく命日と故人の死後一ヶ月後の昇天記念日１３７年目の昇天記念日にお墓参りをします。 神道の場合であれば祥月命日月命日式年祭といった祭りの時にお墓参りを行います。どのような日程であれ死者を思い出し弔う気持ちを持つということには違いがなくどれが良いとも言うものではありませんがこういった違いがあるということは知識として覚えておくのが良いかもしれません。,1,,神奈川の霊園情報サイト,http://www.marusan.com/,1,0,
,25,毎年のお墓掃除,,,我が家の奥様の実家のお墓の掃除で毎年大変です。というのは奥様は長女です。結婚するときは長女だとか次女だとかそんなことは何も考えなかったのですが。結婚して30数年義父も76歳の若さでなくなり義母一人の生活なりました。そうするといろんなことを肩代わりしなければならなくなりました。その一つが毎年恒例のお墓掃除です。こんなことを書くとご先祖様に怒られそうですがお墓は山の中にあって1年に1回の掃除なので草やササや雑木が結構茂っています。これが大変です。何故ならお墓の横はちょっとした斜面になっているのです。そんな状態の中草刈機や鎌をもって奥様と一緒に作業します。終わった後は大変気持ちの良いものですがそれまでは「何で俺がこんなことせないかの」と愚痴ったりするとそこから気の強い奥様と喧嘩になることもいつもの恒例になっている感じです。そんな喧嘩をしながら愚痴をこぼしながら奥様はお墓の掃き掃除私は草刈機で周辺の草刈その刈った草を谷底へ投げ捨てるのも一苦労です。そんな事をしながら約半日潰れます。慣れない仕事で次の日は腰や肩がいたいのです。しかし終わった後は奥様の義母から美味しいビールとお酒をいただき夜は乾杯です。また感謝されて大変良い気持ちで自宅に帰ります。毎年の恒例です。,1,,神奈川の霊園紹介,http://www.marusan.com/,1,0,
,32,義父のお墓参り,fudousan,,義父にあたる人が東京で没して約１０年。お葬式にも出向けずその後西東京の大きな墓地に埋葬されたという話を聞いてはいましたが墓参もせぬまま月日が過ぎてしまいました。先日さすがにやはり一度はお参りしないと罰が当たりそうという気になり思い切って新幹線に乗って上京しました。中央線に乗り東京都西部の大きな駅で降りバスに乗換えて揺られること４５分ほどで到着。本当に大きな霊園でした。まず入口近くの管理事務所に寄り該当墓地の区番を示して場所を教えてもらいます。広いので場内を循環するミニバスが走っているということでそれに載せてもらって数分で着きました。降りてはみたもののそこのブロックのどこかということはわかるのですがそれもまた墓石の数が多過ぎるので捜すのに一苦労。かなり時間をかけてウロウロしましたがやっとのことで目指す墓標を見つけました（ここまでで結構疲れました）。先ほど事務所でお借りした桶に水を汲んで墓石に掛け持参した榊をお供えして線香を焚いて１０年もの不義理を詫びました。どうぞ安らかに成仏なさってくださいね。それにしても東京って人が増えすぎたせいか広大な土地の確保を必要とする霊園を作るにはやっぱりこんな郊外でないといけないのだなぁと感じ入りながら帰路につきました。,1,,神奈川で霊園を探すなら,http://www.marusan.com/,1,0,
,32,初めて知った祖母の母のお墓,ohaka,,今年のお盆も家族でお墓参りに行ってきました。毎年家族で行くのですがたまに親戚一同でお墓参りをする事もあります。その時は皆でお経を唱えて日々健康で過ごせていることに感謝をしています。そんなお盆のお墓参りでしたがまた来年…と思っていたところ早くも今月中に行くことになりそうです。それに加えて別のお墓参りもしてくる予定です。祖母の母に当たる方なのですが私は1回もそのお墓には行ったことがありません。先日祖母と話をしている際にその話題になり今月中には1回お墓参りをしておきたいとのことでした。私も行った事が無いのでそれじゃあ一緒に行こうという事になりました。それもまた自宅からさほど遠くない場所で行こうと思えばすぐにでも行ける場所です。そこにお墓があると知っていればきっと随分前から祖母と一緒にお墓参りをしていたと思いますが今からでもちゃんと知ることが出来て本当に良かったと思います。万が一祖母が亡くなってもお墓参りだけはすることが出来ます。最近はテレビでもよく無縁仏という言葉を聞きますがそうなってはすごく切ないです。生きている者の務めとして毎年のお墓参りは本当に欠かせないと思います。,1,,神奈川の霊園情報,http://www.marusan.com/,1,0,
,32,家の団地の周りは大きい墓地だらけ！！,,,私の家は一戸建て住宅なんですがそういう一戸建て住宅が一つのセクターになったようなマンモス団地に長く住んでいます。途中あちこち出たりはしたのでずっと住んでいたわけではないのですがいつのまにか周囲にたくさんたくさん墓地ができたんです。○○○墓苑■■■■墓苑とか◇◇◇寺とか…大きい物ができたのでバスの行き帰りなんかは墓地に行く人とかそこから帰る人とかで日曜日なんか朝早く出ても黒い喪服ばっかりの人が次から次に乗る時もあるような感じで…私たちが部活動に行くとか遊びに行くとかそういうときも全然おかまいなしですごく乗り込んできます。だからバス停もいつも喪服の人が何人もいたりあんまりいいものじゃないですよ。黒い服の人は１人や２人じゃないんで…湿っぽく泣くような人が朝から夕方まで乗り込んでくるのをいいと思う住民はいないですよ。だけど文句も言えないしそのため知らずに家を買った人はすぐに家を売って出て行きます。入り口も人殺しの家がそのまま放置されっぱなしだったころはあまりにもなにやかや暗すぎると気味が悪くて夜なんかでもあそこを通る道をタクシーの運転手さんが気味悪がってどの人もものすごく怖がって一時期すごい噂がたったこともありましたから…峠のてっぺんで女の顔や手が映るとか…私は一度もそんな経験はないしあそこの道がこれっぽっちも怖くないんです。夜は隠れていた猪や狸やテンが出るんですけど…それだけです。さすがに熊が出たら怖いから通らないですけど幽霊なんていうのはないです。そういう冷気も全くないです。人殺しの家もシロアリがくるということで行政がきちんと壊して更地にしました。,1,,神奈川の霊園情報サイト,http://www.marusan.com/,1,0,
