Post.id,Post.blog_id,Post.title,Post.pagename,Post.menu,Post.content,Post.public,Keyword.id,Keyword.keyword,Keyword.url,Keyword.visible,Arbitrary.keyword
,214,ゴミのリサイクルについて,,news,エコの観点においても、金銭的な観点においても、これからリサイクルというのは、私たちが考えなければならない重要な課題です。 特に、ゴミのリサイクルに関しては、私たち人間が地球の限りある資源を利用している限り、長く人類が存続するためには必要不可欠なことと言えます。 ゴミをリサイクルすることでもたらされるメリットといえば、まず、ゴミを少しでも減らすことができるということにあります。 最近のゴミはプラスチックなどの複雑なゴミが多く、そう簡単にあっさり処分すれば良いというものではありません。 処分するときに有害物質などが出ないように、環境に配慮しながら処分しなければならないからです。 その点、リサイクルすることができれば、まずはゴミを処分する手間が省けますし、リサイクルすることで金銭的コストを抑えることもできます。 企業だけではなく、一般家庭の各個人もまた、これからの時代はリサイクルを考えていかなければならず、それらに少しでも興味をもって生活することがわれわれには求められています。,1,,逗子 車検,http://harumiouto.com/,1,1
,215,重要度が深まるオフィスのセキュリティー,,news,まだつい最近のことですが、オフィスのセキュリティーというものがとても重要視されるようになりました。 これは単にオフィスにおける外部からの盗難を防ぐということの意味の他に、内部情報を管理するという意味があります。 私が以前に勤めていたオフィスもそうだったのですが、顧客の個人情報を取り扱う会社であったため、こういったオフィスのセキュリティーは厳重に管理されていました。 まず、ビルに入るためにセキュリティーチェックのナンバーロックがありましたし、それを解除してビルに入っても、さらにオフィスに入るためのナンバーロックがあり、なかなか厳重なセキュリティーであったと思います。 最近では、こういった個人情報の流出ということに対して、世間がとても敏感になっており、外部から来た人間は、簡単にオフィス内にアクセスできないようにすることが求められています。 これからも、こういったセキュリティーに関することはさらに重要になっていくと思いますので、会社としてはそれを考えることが、企業活動の一環として切っても切り離せないものになると私は思っています。,1,,逗子 車検,http://harumiouto.com/,1,1
,216,あまりないリンクのページ（コンテンツ）に対する、検索エンジンーがどんなアルゴリズムで順位を評価するなのか？,,news,マットカッツ（MattCutts）氏の最新サーボート動画でページがないリンクのコンテンツ品質評価するアルゴリズムに関する、色々な説明してくれました。マットカッツの表現で、現時点完全リンクがないアルゴリズムの評価は次ぐ採用出来ずらいが、間接時期とした、Google社内側で色々なパターンがテストされました。（pre-Google days）pre-Google daysとは検索エンジンはリンクの処理する前の段階と説明しました。このリンク処理前の段階は簡単的なアルゴリズムは、コンテンツないのことばと文章などで色々なチェックするはずです。例えばコンテンツ内で良く使うことばなど。またはあるレベルに達した後に継続するとその能率度で低下が起きるということを示す法則（diminishing scales）をもちてコンテンツ品質を分析することも利用したそうです。または、ドメイン名自体のファクターに対し、関連性分析などもアンサーしましたが、ドメイン名ならリンクのことになってしますといました。,1,,逗子 車検,http://harumiouto.com/,1,1
,217,経費も全てお店が負担してくれるキャバクラ,,news,私が働いているキャバクラは、すごくサービスがいいです。ドレスやミュール、パンプスといった衣装は全てお店が貸し出してくれるし、ネイルやメイク、ヘアアレンジが出来るスタッフの方が出勤前に待合室で待機しているので、早めに出勤したらそこでネイルもヘアもメイクも完璧に仕上げてもらえるのです。私はどちらかというと不器用なのでいつもネイルやメイク、ヘアを自分できれいにセットする事が出来なかったのですが、このお店だとそういった心配もなく毎回ベストコンディションで出勤する事が出来るから楽です。メイクやヘアアレンジしてもらっていたら、自分では気が付かなかったメイクアイテムやヘアスタイルをプロから学べるので嬉しいです。それまでは自分で上手に付けまつ毛を付ける事が出来なかったのですが、スタッフの方が完璧に付けてくれるからすごく自然な仕上がりで盛りメイクが完成するから、今迄以上にきれいに見られるようになりました。そしてお店が終わった後もタクシーチケットを出してもらえるから、稼いだお金は全て自分の物となるからこのお店で働き出してからもう数百万円も貯金が出来ました。稼げる事も大事だけど、経費がかからないといった事もキャバクラで働く際に大事だなと思いました。,1,,逗子 車検,http://harumiouto.com/,1,1
,218,キャバクラの仕事で世界が広がる,,news,私の最近のマイブームは、バーチャルゴルフにお店のお客さんと同伴の前に通う事と、海外旅行、ドライブです。以前はゴルフなんてお金がかかるから全く縁がなかったし、海外旅行も資金がなくて行けなかったし、車を所持するなんてもってのほかでした。それがキャバクラで働き出してから、いきなり月収がそれまでのフリーターのアルバイトの月１２万円から７０万円になりました。だいたい１日の基本給が２万円なのですが、それに売上料のバックや指名料、延長料でプラスアルファされるから、少なくても月収６０～８０万円にはなるのです。おかげで以前住んでいた７畳ワンルームのマンションから、２ＬＤＫのおしゃれなデザイナーズマンションに引っ越して、家具もインポートブランドで揃える事が出来ました。それでもお金が余るから、暇を見つけては海外旅行に行ったり外車の新車を購入しているのです。結構生活は派手になりましたが、月に１０万円以上は貯金するようにしています。しばらくはこの生活を続けて、何とか貯金が５００万円になったら結婚でも考えてみようと思っています。キャバクラの仕事で男を上手に誘惑するテクニックは充分身に付いているから、結婚相手もきっといい男をゲット出来そうな気がします。でも若いうちはがっつりキャバクラで稼ぐのが賢い生き方だと思いました。,1,,逗子 車検,http://harumiouto.com/,1,1
,219,ふっくらした胸,,news,脂肪吸引で除去した脂肪はその後の脂肪注入で再利用できるの知ってました？私の母はこの脂肪注入をやったことがあるのですが、自分の脂肪だから安全性が高いんですね。ヒアルロン酸も似たような効果がありますが、僕がやるとしたらヒアルよりも脂肪注入にしたいね。丁度お腹周辺に使い易そうな脂肪の塊がセットしてあるし。僕には内緒で彼女が脂肪注入という美容外科手術をやって来た。言われるまでどこがどうなったのか分からなかったが、たしかに脂肪を吸引したところはスッキリしていた。結構細くはなっていたが、意外と皮膚があまってたるんでくるようなこともなかったらしい。脂肪注入した箇所は顔みたいで、指示したところが何となくふっくらしてましたね。,1,,逗子 車検,http://harumiouto.com/,1,1
,220,職場の環境改善より人の改善をしたほうが早いのでは,,news,職場の環境改善は結構簡単に出来るものです。でも人間の改善は簡単に出来るものではありません。もうどうしようもないのではないかと、ほぼ諦めています。意識改革と言う言葉もやたらと頭の中で堂々巡りをします。人間が人間を動かす事と。自分が自分を管理する事。 人の体型を見て、仕事が出来る、出来ないと判断する世の中です。確かに一つの判断材料にはなるけれど、何故太っちょ人間が仕事が出来ないと思うのか、統計を取ってそうのような結果になるのだとは分かっているけれど、どうも納得がいかない。スマート人間にはチョッと怖い人たちがいます。一見や優しそう見えても仕事の仕方を見ているとゾクッとします。 だけど職場はそんな人間を選んでしまいます。結果シビアに仕事をする人間が多く職場に入ってきます。職場環境が植物を置いたり、カラフルになっているけれど、素材の感触が冷たいのです。コーヒーが飲める環境はあるけれど、使い捨てです。全部が過ぎにゴミになってしまうものばかりです。合理主義が此処まできてしまうと、美味しいお茶も飲めないし、美味しいコーヒーだって飲めない。本物の味を知らない人間が職場を埋め尽くしているのです。グルメが美味しい緑茶の味を知らずしてどうするのでしょうか。職場の環境を昔に戻したほうが良いと思うことがしばしばです。美味しいコーヒーを入れてくれ、美味しい緑茶を入れてくれる人がいても良いのではないでしょうか。ペットボトル入りのお茶が会議のたびに机に並びます。可笑しいと思いませんか。,1,,逗子 車検,http://harumiouto.com/,1,1
,221,水回りのトラブル,,news,大学の友人が整形をしていました。私は、個人的には整形は後遺症の問題もあるし反対派なのですが、他の人に強制するものでもないと思っています。なので、夏休みに友人が韓国で整形をして来たときも、事後で知ったということもあり反対意見は言わないようにしていました。 でも、やっぱり整形って分かるものなんですね。元々彼女は一重だったのがコンプレックスだったみたいで、整形で二重にしてきたのですが、二重の幅や線の深さが、気のせいか若干人工的な感じがしました。よくテレビで、芸能人の整形はすぐに分かるというのを特技で話す人もいますが、あながち嘘でもないなという気持ちを覚えました。 ただ、一番残念だったのは、彼女が整形した後もコンプレックスを引きずっていて、「何かにつけ人が自分の目の上（二重の線）を見る」と言っては、ぐじぐじ悩んでいました。せっかくコンプレックスを解消するために勇気を出した整形でも、なかなか気持ちまでは矯正できないのかもしれません。気持ちが前向きになれるような整形であれば、個人の自由なのでやっても良いのかもしれませんね。,1,,逗子 車検,http://harumiouto.com/,1,1
,222,ネイルのお客さんはソープ嬢でした,,news,"""ネイリストをしていた時、お客さんにソープ嬢がいました。見た目はごく普通のカジュアルなファッションの彼女。２０代前半でしょうか。特別ブランド物をぶら下げているわけでもなく、派手な化粧をしているわけでもない。小柄で目立たない感じの人でした。ただ、それにしては毎週かなりの金額を私に使ってくれるので若いのに何をしている人なんだろう？と不思議に思っていました。３か月くらい私のもとに毎週通ってくれたでしょうか。ある日、施術中にこう話しだしました。「風俗嬢ってどう思う？引くよねー？」私は仕事に貴賤はない、と思う方なので「どうしてですか？自分の意志でやっているなら別に立派だと思いますよ」と答えると、突然ぼろぼろと泣きだしました。その時初めて、私にソープ嬢であることを話してくれたのです。上京してきて、出会った彼氏が金遣いのひどい男だったようです。同棲していて、いつか結婚したいけど彼には大きな借金があるからできないと言われてしまった。だから私が頑張って返して、返し終わったら結婚したい。とのことでした。正直、自分の借金のために彼女を風俗で働かせる男がまともだとは思いませんでしたが彼女はいつも店で彼の話を嬉しそうにしていたので何を言っても無駄だと思い、「体を壊さないでね」、とだけ伝えました。彼女はこのことを誰にも話せなかったので、辛かったというのです。友人には派遣のコールセンターで働いている、としか話していないと言っていました。ネイリストと客、というだけの関係だから私には話してくれたんでしょう。彼女はそれから２年程通ってくれて、突然来なくなってしまいました。借金は返せたんだろうか、結婚できたんだろうか。どこかで彼女には幸せであってほしいなと思います。""",1,,逗子 車検,http://harumiouto.com/,1,1
,223,キャバ嬢は甘くなかった,,news,"""高校を卒業して何年かフリーターをしていました。夢もなく、目標もない。ただ何となく生きていました。これから、なにをしていこうかとふらふらしていた時キャバ嬢の子がモデルになっている雑誌を見つけて読みました。なんだかみんなすごく輝いて見えて私もやってみたいなと思うようになりました。うちは貧乏で、６畳の子供部屋は姉、私、妹の３人姉妹で使いお洋服もお下がりやもらってきた古着ばかりでかわいい格好をさせてもらった記憶がありません。髪の毛もいつも短くさせられていました。雑誌に載っているキャバ嬢の子たちはみんな髪の毛をきれいに巻いて色とりどりのドレスを身にまとい高級マンションに住んでいてブランド物やエステ、ネイル、美容院に惜しげなくお金を使えているようでした。ブランドのバッグなんて持ったこともなかった私は強烈に憧れを抱き無謀にも歌舞伎町のキャバクラに面接に行きました。そこは夢のような世界でした。おしゃれな内装で、わくわくしました。私はとりあえず体験入店でそこに入りました。最初はお酒の作り方もわからない状態でしたが仲良くなれた同い年の子が２人できて色々と教えてくれました。でも、売上の多い嬢たちは結構バチバチで、口もききづらい感じでした。高そうなブランドバッグを持って、高そうなドレスを毎日とっかえひっかえ着て。彼女たちは話術も巧みで楽しませるのが上手だったしなによりも仕事への真剣さが違いました。正直、私は話をすることは好きだったのでお客様と盛り上がることはできましたがプロ意識で彼女たちには勝てませんでした。１年ぐらい頑張りましたがどうしても売り上げが上がらず、お酒で体も壊してしまいました。私はキャバクラは諦めてずっと時給の低いショップ店員の仕事に転職しました。お金を稼ぐことは容易ではない、綺麗に見える世界には本当に努力も必要なんだと痛感しました。",1,,逗子 車検,http://harumiouto.com/,1,1
