Post.id,Post.blog_id,Post.title,Post.pagename,Post.menu,Post.content,Post.public,Keyword.id,Keyword.keyword,Keyword.url,Keyword.visible,Arbitrary.keyword
,198,キャバクラ体験記,,,生まれて初めてキャバクラへ行きました。キャバ嬢たちはすごく楽しく接客をしていて女の私ですが楽しい時間を過ごすことが出来ました。そんな私にアルバイトの話が来たので流れで１日体験で働く事に。私に会いに来てくれる男性もいたのが予想外でしたが嬉しかったです。でも、お客さんでいる時のキャバ嬢たちの接し方とアルバイトの人に対する接し方のギャップがすごくありすぎて怖かったです。キャバ嬢の中には暗黙の了解が沢山あるようで人のお客様に手を出してはいけないという決まりがありました。私はそれを知らず、とりあえずお客様に話しかけたのですがでしゃばるなと陰で起こられ終わりの時間まで雑用をさせられることに。キャバクラの世界で生きて行きたいと思っているわけではないので１日だけの体験で本当良かったと心から思いましたが、きっとほかのお店では違う体験が出来るところもあるんだろうなと思いました。女の私が言うのもなんですが、女の園は大変だなと思いました。,1,,新宿の風俗,http://fuzokudx.com/arealist/show/id/482,1,0
,195,熟女クラブの様子,,,５年程横浜にある熟女クラブで働いてました。横浜では結構系列があるみたいで、面接に行った時にはお店を好きに選べる、その代わり途中で移動してもらう事もあるよと言われちょっと変わった所だなと思いました。一番びっくりしたのがボーイさんがいないんです。お客様や自分のドリンクは自分で作りに行かなくてはいけなく、会計も自分。テーブル移動も自分でと全部自分で行う所がある意味新鮮で面白かったです。そこのお店では通常のセット料金以外にチケットがあります。企画によってその都度違うのですが、大体は2000円のチケットを買ったら次回2000円使えるよ。10000円買ったら13000円分次回使えるよといったいわゆる前売り制度がありました。これ、お客さんにとってメリットがあっても女の子達にはあまりメリットないんです。普通の指名、同伴売上バックの方がいいので当時はノルマもあるので売上をとるかノルマをとるかで結構悩みました。時給面やらは色々思う所はありましたが、それでもやってこれたのは店が良かった、女の子がわきあいあいで仲が良かったから？続けられたのかもしれません。店の女の子達とやっていけるかって結構重要なんです♪,1,,新宿の風俗,http://fuzokudx.com/arealist/show/id/482,1,0
,192,ソープランドへの憧れ,,,今回は、私の風俗店への憧れについて語ろうと思います。年齢は伏せさせてもらいますが、私は今まで一度も性体験をしたことがありません。俗に言う童貞というやつです。彼女がいたことはあったのですが、自分からそういうことをしようと言い出すことができず、別れてしまいました。そんな奥手な私にとって、お金を払うだけでよい思いをすることができる風俗店というものは、非常に夢のあるお店なのです。ですが、私はなかなか行こうとすることができません。理由はいくつかあるのですが、一番はやっぱり恥ずかしいということです。風俗店に入る瞬間や、店内のほかのお客さんとあったときなど、想像するだけでも顔が赤くなってしまうのです。ほかには、女の子の前でいきなり裸になることが恥ずかしいということです。童貞の私にとって、女の子の前で裸になるなど、想像するだけで卒倒してしまいそうです。これだけ様々な理由で恥ずかしがってしまう私は、致命的に風俗店に向いていないのかもしれません。&nbsp;&nbsp;最近、夜の味を覚えてしまいまして&hellip;池袋にある風俗に通い詰めになってしまいます。お気に入りの女の子にぞっこんすぎて時折自分が心配になります。,1,,新宿の風俗,http://fuzokudx.com/arealist/show/id/482,1,0
,95,キャバクラに行きたくなる理由,,tantei,キャバクラにどうして行きたくなるのか？男が求めるものがキャバクラにあるからです。それは女の子でしょう。男ってのは何歳になっても女の子が好きなんですよね。ただ女の子がいいのならわざわざ高いお金を払ってまでキャバクラに行く理由にはならないでしょう。大学にも会社に街の中にもそこら中に女の子は溢れかえっているのですから。女の子がいるだけが理由ではないようですね。キャバクラ嬢とそれ以外の女の子の違いがおそらくキャバクラに行く理由であると考えられます。第一にキャバクラ嬢はかわいい子が多い。まあ中には「あれ？」って子もいますが(笑)。当然男はかわいい子好きですからね。ただかわいい子は街中にもたまに見かけます。まだ他にも理由がありそうです。第二に、キャバクラ嬢は笑顔で接客してくれます。お金を払ってるんですから当然といえば当然なんですが。しかしこれは街中の女の子と大きな違いがありますね。街中で女の子に話しかけても笑顔で話に乗ってくれるなんてことはまずないでしょう。しかしキャバクラ嬢はどんだけおもしろくない事を言っても笑ってくれます。これが男を気持ちよくさせるんでしょう。最後にそんなかわいくて笑顔で接客してくれるキャバクラ嬢がエロい恰好をしているからでしょう。これは街中では出会えそうにありません。エロい恰好をしたキャバクラ嬢ともしかしたらアフターなんて考えると男の財布の紐も緩むのも無理はないでしょう。かわいくて笑顔でエロい女の子が基本的な理由で、最大の理由はその後の妄想と考えられますね。,1,,新宿の風俗,http://fuzokudx.com/arealist/show/id/482,1,0
,93,最近人気のスナック,,fuzoku,私は高校を卒業してから就職せずにスナックで夜の仕事をしていました。おばさんがスナックを自分で経営していた事もあって、就職するのもなんだか面倒くさかったので、そこで楽をしちゃいました。でも、スナックはお給料が安いし、チーママとあんまり相性が良くなかったりしたので、二年位で辞めてキャバクラに勤めることにしました。スナックもキャバクラも、男の人をおしゃべりで楽しませてお酒を飲ませる仕事ですから、仕事の内容に大差はありません。キャバクラの方が給料も全然良かったので、早くスナックは辞めてキャバクラに勤めておけば良かったと思いました。同伴とかアフターとかがあって、拘束時間はスナックより長くなってしまったのですが、月給でスナックの倍、良い月は三倍稼げるようになったので、キャバに転職して良かったなと思っています。でも、この仕事も稼げるのは20代前半までなので、23歳にして早くも引退後の仕事を考えなくてはならないのがツライところです。でも、スナックなら20代後半でも全然OKなので、売れなくなったらまたおばさんの店に戻ろうかと計画をしています。&nbsp;&nbsp;友人はみなココの女の子がいいと言います。千葉の人気風俗友達のキャバ嬢が悩んでいたので調査しますキャバ嬢を盗聴,1,,新宿の風俗,http://fuzokudx.com/arealist/show/id/482,0,0
,85,金を求めてホストになって,,tantei,不況でもホスト業界はやっぱり華やかですね。歌舞伎町のホスト募集を見て僕もつい応募してみたくなりましたわ。基本給だけでは食べていけそうにないけれど、指名客が沢山つけば20代で年収2000万とかも可能らしい。人間を惹きつける魅力があると思っているのなら、歌舞伎町でホストになるのが成功への近道ですね。ホストはダサイスーツを着たり地味な格好をするわけにもいかないので、自己投資を欠かせないのが大変そうですけど;。珍しい仕事でホストの求人を見ましたよ。分類上ホストって飲食店従業員ということになるのかしら？テレビでしか見たことのないホストクラブですが、一度行ったら何度も行きたくなる仕組みは興味がある。でもホストとして成功できるんだったら他の業界に行った方が堅実に稼げるんじゃないかな？,1,,新宿の風俗,http://fuzokudx.com/arealist/show/id/482,1,0
,87,キャバクラ相手の酒屋って儲かりそう,,fuzoku,女子高生のなりたい職業の中にはキャバクラ嬢があるっていうけど、どこまでが冗談なのか分からんね。単純にお金が欲しいだけだろうけど、誰だって楽してお金を稼ぎたいだろうし、若いうちにしかできないって意味ではいいことかも。でもどうにかキャバ嬢になれたとしても、そこから稼げるかどうかは才能や努力に大きく左右されるだろう。勝手な妄想だけど、キャバ嬢でナンバーワンになれるような人は他の店や業種に行っても優秀なのではないだろうか。相手の気持ちを読み取る能力が特に求められるだろうし、数ある仕事の中でも特にコミュニケーション能力を求められる仕事。はたから見ると確かに酒飲んだりしゃべるだけでお金がもらえる楽な仕事に見えるけど、ナンバーワンの人が何を考えているのかは気になるね。もし年齢的な問題で引退することになっても、営業能力に関しては高そうだし、やっぱデキる人間は何やっても有能っぽい。下手な資格を頑張って取るよりも営業能力を身につけるのが結局のところ最強ってことなのか。だからと言って、そんな簡単に身に着く能力でもないしなぁ。キャバクラで稼いでいる人がホストクラブに行ったりもするらしいけど、お金もある程度使ったら飽きてくるものなんじゃないかな。&nbsp;,1,,新宿の風俗,http://fuzokudx.com/arealist/show/id/482,1,0
,190,夜の仕事の収入,,,専門学校に通っていた時に、夜にキャバクラでバイトをしていました。最初は夜のお仕事をすることに抵抗があったのですが、周りで友達がキャバクラでバイトをしている子がいてその子の話を聞いているうちに、そんなに抵抗するようなお仕事ではないことが分かったからです。私は地方から学校に通うために一人暮らしをしていて、仕送りがありましたがあまり多くを貰っておらず家賃くらいしか賄うことができなかったのです。なので学校の授業をきちんと受けながらも、高額収入が入るキャバクラでのバイトは私にとってはありがたいものでした。女だらけの職場なので最初は人間関係を心配しましたが、私の働いていたところはまったくそんなトラブルの心配はなく、むしろ良好な感じで楽しかったです。お客さんも私を娘のように可愛がってくれる方などがいて、相手をするもの苦痛だと思ったことはありませんでした。夜の仕事なので出勤をした次の日は少し眠いのが辛いところでしたが、それ以外は収入もいいしやりがいもありました。&nbsp;&nbsp;バイトを探しています。,1,,新宿の風俗,http://fuzokudx.com/arealist/show/id/482,1,0
,199,夜の蝶デビュー,,,風俗、デリヘル、キャバクラ、どれも夜の蝶々のお仕事ですが仕事内容はやや異なってきます。まずはキャバクラですが、これはこの中では一番リスクが低いお仕事です。但し、お酒を飲む事が必須となってきますので健康を大事にしたいならば注意が必要となります。キャバクラはお客さんとお喋りをしてお酒を扱うお仕事です。性的行為を含むセクキャバというのもあるのですが、これはもはや風俗と同じようなものとなっています。デリヘルですが、これは女性をデリバリーして購入をする事です。デリヘル店員である女性を注文し、自宅やホテルまで来て貰ってそこで性的行為を行います。デリバリーヘルスは、店側が店舗を構える必要が無いので安上がりとなっています。風俗ですが、これは多種多様なのです。風俗といえば店舗型風俗が一般的であり、男性客が風俗店を訪れて、その風俗店に沿った性的行為を楽しむのです。この性的行為が多種多様に分かれているので好みに応じた店舗を訪れます。ソープ街があるので楽しみ。,1,,新宿の風俗,http://fuzokudx.com/arealist/show/id/482,1,0
,105,ラフティングの経験しよう,,,井上萬二や奥村土牛、横山大観などの作品を高額で買取りしてくれる骨董品屋のサイトです。それぞれの芸術家たちの特設ページも設けています。骨董品の買取価値は、専門会社でなければわかりません。詳しい人に見てもらってください。海外旅行保険ハワイなんて目じゃない！今の時代、南国リゾートと言ったらフィジーでしょう。フィジーには何と言っても海があります。ハワイにもありますけどね。でもフィジーの方が海がきれいだし、食べ物も沢山ありますよ。フィジー特産のココナッツを、あなたの鍛えた空手で叩き割ってみませんか？正拳突きでココナッツが割れれば、その辺のチンピラの頭蓋骨も一撃ですよ。若い人にも大人気のフィジー旅行をぜひご検討くださいませ！どんなに綺麗にしてたって、無駄な物って出てきませんよね。PCとかが壊れたり家具が壊れたり&hellip;そういう大きのに限って捨てにくかったりするんです！思い切って今日は不要品回収の業者に電話しちゃいました。&nbsp;,1,,吉野川ラフティングの会,http://www.taoadventure.com/?,1,0
